"(Intercept)","CO2","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-12.248054539279,0.00679607232176661,NA,NA,0.00629947109928085,-3.50087379823409e-05,-0.0143497135097734,-0.00819676366784172,9,-3145.51107713494,6309.02755724152,3596.01612895278,0,1,FALSE
-12.1274649787934,0.00667409688023252,NA,NA,0.00291095983806292,NA,-0.0145813810732866,-0.00847878884562919,8,-3166.64943463622,6349.30319152,3636.29176323126,0,1,FALSE
-9.9657902638389,NA,NA,NA,0.00617814802572507,-3.3592201468212e-05,-0.0139353506848188,-0.00810323583852613,8,-3191.25662962098,6398.51758148954,3685.5061532008,0,1,FALSE
-9.88966670397187,NA,NA,NA,0.00292645407380902,NA,-0.014164917131022,-0.00837570521315088,7,-3210.7455278191,6435.49441728542,3722.48298899668,0,1,FALSE
-12.1515170124992,0.00644443394553963,NA,NA,0.00722951385106229,-4.73421982814195e-05,-0.00229877564246496,NA,8,-3360.54782445029,6737.09997114815,4024.08854285941,0,1,FALSE
-12.1236035753181,0.00637398090956081,NA,NA,0.00715561216195313,-4.68173009744759e-05,NA,NA,7,-3364.47553766485,6742.95443697691,4029.94300868818,0,1,FALSE
-11.9834644992613,0.00626527900441775,NA,NA,0.0026348166511412,NA,-0.00204838440487004,NA,7,-3399.11981963761,6812.24300092242,4099.23157263368,0,1,FALSE
-11.9602427174108,0.00620423878745105,NA,NA,0.0026143336167153,NA,NA,NA,6,-3402.2346717827,6816.47186472514,4103.4604364364,0,1,FALSE
-9.98817531671314,NA,NA,NA,0.00710471453317983,-4.58676309709544e-05,-0.00203374122559012,NA,7,-3401.70107636113,6817.40551436947,4104.39408608074,0,1,FALSE
-9.98436890023308,NA,NA,NA,0.00704046523103391,-4.54169399766933e-05,NA,NA,6,-3404.78180854952,6821.56613825878,4108.55470997004,0,1,FALSE
-9.88400197905943,NA,NA,NA,0.00265261054343244,NA,-0.00179787232349664,NA,6,-3437.9743908915,6887.95130294273,4174.93987465399,0,1,FALSE
-9.88153864119557,NA,NA,NA,0.00263446452533515,NA,NA,NA,5,-3440.37922165902,6890.76024409238,4177.74881580364,0,1,FALSE
-12.091673195055,0.00697157208409948,NA,NA,NA,NA,-0.0111992688975068,-0.00727224385524156,7,-3513.78164379716,7041.56664924153,4328.5552209528,0,1,FALSE
-9.75387467418671,NA,NA,NA,NA,NA,-0.0107417312974983,-0.00715799599890741,6,-3561.92029304183,7135.84310724338,4422.83167895465,0,1,FALSE
