"(Intercept)","dbh","I(dbh^2)","tmp","I(tmp^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-22.4815061300069,NA,NA,-0.0197320683817545,NA,-0.0138970923872504,0.000334867607850085,0.0124573987990723,8,-377.552260320144,771.143439559208,209.172845069863,2.51477802020211e-46,1,TRUE
-23.9036092146877,NA,NA,0.197422766112022,-0.00559556630894496,NA,NA,0.0120589413150894,7,-380.556978070485,775.144218232296,213.173623742951,3.40205715335744e-47,1,FALSE
-22.0153538262246,NA,NA,-0.0227413925010173,NA,NA,NA,0.0121949528982466,6,-386.011738332489,784.046167102579,222.075572613234,3.96924557282962e-49,1,FALSE
-22.3860758359484,NA,NA,NA,NA,-0.00989741432762479,NA,0.0122122357389154,6,-402.195639458887,816.413969355375,254.44337486603,3.71645616036779e-56,1,FALSE
-22.5045948822958,NA,NA,NA,NA,0.000771421456664469,-0.000475530981542899,0.0122432697958616,7,-401.729633104898,817.489528301123,255.518933811778,2.17057280095511e-56,1,FALSE
-0.761864753206226,NA,NA,0.265744369104826,-0.00721459674658852,-0.00679343366459558,NA,NA,7,-414.55108721398,843.132436519287,281.161842029942,5.86526430086509e-62,1,FALSE
-0.690169729550001,NA,NA,0.263116240636026,-0.00715963627444152,-0.0146074406891487,0.000352284596190834,NA,8,-414.302017783175,844.642954485269,282.672359995924,2.75602262419047e-62,1,TRUE
-21.4294613765086,NA,NA,NA,NA,NA,NA,0.01167216651275,5,-423.114710889728,856.24562485804,294.275030368695,8.33287600073164e-65,1,FALSE
2.01778237875713,NA,NA,-0.0186754868149717,NA,-0.00574832387450594,NA,NA,6,-423.546004210995,859.114698859592,297.144104370247,1.98510469139634e-65,1,FALSE
-0.33869417868596,NA,NA,0.218546129662198,-0.00610743441025631,NA,NA,NA,6,-423.565875972832,859.154442383266,297.183847893921,1.94604652631296e-65,1,FALSE
2.08207542719699,NA,NA,-0.0192626745882197,NA,-0.0157026232254083,0.00044832019207173,NA,7,-423.143949711772,860.31816151487,298.347567025525,1.08756399297773e-65,1,TRUE
2.01483724905662,NA,NA,-0.0217521781449809,NA,NA,NA,NA,5,-430.126570683624,870.269344445833,308.298749956488,7.50901380718666e-68,1,FALSE
1.68932192954574,NA,NA,NA,NA,-0.00907617879145683,NA,NA,5,-446.60349069776,903.223184474105,341.25258998476,5.24502378529757e-75,1,FALSE
