"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","Year","df","logLik","AICc","delta","weight","cw"
4.31452451953967,0.0158212720726739,NA,-0.0177794464959936,0.000359377683025758,-0.331213720304087,0.00937045561943903,NA,9,-706.503678919539,1431.08134057644,114.744681410001,5.32377571999801e-26,1
1.47107540642548,0.0154129550689748,NA,-0.0233599216873997,0.000471660315540937,NA,NA,NA,7,-709.09077011392,1432.22753612106,115.890876954626,3.0014184725697e-26,1
1.64981263671397,0.0157995205279134,NA,-0.0240546166829234,0.000468448590881183,-0.00965103453698963,NA,NA,8,-708.302334399764,1432.66383067299,116.327171506548,2.41316152802544e-26,1
0.489653203766863,0.0954858004923402,-0.00199677800743525,NA,NA,NA,NA,NA,6,-710.785506959532,1433.60549667768,117.268837511245,1.50697559155648e-26,1
5.24659655359302,0.0163231981537057,NA,0.0031675523698519,NA,-0.475320371050804,0.0135613392178062,NA,8,-709.148061244893,1434.35528436325,118.018625196807,1.03583812333475e-26,1
5.67316922142678,0.0165979758230931,NA,NA,NA,-0.503790165641075,0.0140478949688725,NA,7,-712.587290129814,1439.22057615285,122.883916986414,9.09509421773816e-28,1
1.06848712949852,0.0161400345228942,NA,0.00422790327606075,NA,NA,NA,NA,6,-714.352491792089,1440.7394663428,124.402807176359,4.25583114311926e-28,1
1.25817861056638,0.0165398140651832,NA,0.00330531184852394,NA,-0.0100887494153037,NA,NA,7,-713.49399743652,1441.03399076626,124.697331599824,3.67307014638623e-28,1
1.55445420963191,0.0168339165878683,NA,NA,NA,-0.02239757388006,NA,NA,6,-717.235439925042,1446.5053626087,130.168703442265,2.38196799885764e-29,1
4.55844999697057,NA,NA,-0.0197667748284115,0.000396545282152627,-0.321463032310631,0.00916317384661649,NA,8,-715.223366067432,1446.50589400832,130.169234841884,2.38133519448566e-29,1
