"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","Year","df","logLik","AICc","delta","weight","cw"
-18.6877444432773,NA,NA,0.289002646634412,-0.0374790674064915,0.00422298645648802,NA,0.00909925519407278,8,-1205.83166729228,2427.70071776213,141.862300439869,9.33565099081612e-32,1
13.4384834645623,0.105339882286007,-0.00204007518662272,-0.0930561821114427,NA,NA,NA,-0.0068254786757181,8,-1212.43081134943,2440.89900587643,155.060588554167,1.27107962779366e-34,1
13.4103051908664,0.105338924152262,-0.00204005594760391,-0.0789443062548453,-0.00168790383374574,NA,NA,-0.00682608585976915,9,-1212.43025923891,2442.90725958403,157.068842261771,4.65678305943488e-35,1
0.119894160130373,0.0776052203578028,-0.00167753702979839,-0.0908278538311263,NA,NA,NA,NA,7,-1217.89705684884,2449.82318195617,163.98476463391,1.46660291766176e-36,1
-1.36756060343071,NA,NA,NA,NA,0.0337450201723611,-0.000168551625517466,NA,6,-1219.35935475771,2450.74050505253,164.902087730271,9.27082461538164e-37,1
-1.25896301590844,NA,NA,-0.0191728066689629,NA,0.0332120878346818,-0.000166251902791795,NA,7,-1218.86282088679,2451.75471003208,165.916292709821,5.58324328335946e-37,1
0.123274660893402,0.0776055737895176,-0.00167754417154194,-0.0924522794754819,0.00019429717080921,NA,NA,NA,8,-1217.897049568,2451.83148231358,165.993064991315,5.37298543180568e-37,1
-0.906475341080635,NA,NA,-0.193972271426844,0.020902332525873,0.0334966593951287,-0.000167954580607176,NA,8,-1218.77725537075,2453.59189391907,167.753476596809,2.22816393237958e-37,1
12.2047750440067,0.104639731908216,-0.00203122860238693,NA,NA,NA,NA,-0.00639612654352032,7,-1225.06222966862,2464.15352759574,178.31511027348,1.13375059275971e-39,1
-0.267011451390209,0.0786251382436046,-0.00169217431739749,NA,NA,NA,NA,NA,6,-1229.87907156362,2471.77993866433,185.941521342072,2.50301472899892e-41,1
0.327946369697891,0.0333100014221829,NA,-0.0931618076518097,NA,NA,NA,NA,6,-1242.62539876267,2497.27259306244,211.434175740177,7.29128103743173e-47,1
0.834573274579943,0.0339738668090106,NA,-0.0932614956518228,NA,NA,NA,-0.000258664851238127,7,-1242.61589993808,2499.26086813466,213.422450812398,2.69808353673137e-47,1
0.321473116534617,0.0333095206914685,NA,-0.090051211459158,-0.000372050309645159,NA,NA,NA,7,-1242.6253719409,2499.27981214029,213.441394818029,2.67264793509086e-47,1
0.0379379854223932,NA,NA,-0.0334561510179124,NA,0.00425931813377974,NA,NA,6,-1245.30363097538,2502.62905748786,216.790640165599,5.0079774759056e-48,1
-0.121924742434145,NA,NA,NA,NA,0.00449308548399707,NA,NA,5,-1246.80484015682,2503.62524451598,217.786827193718,3.04328834153396e-48,1
-0.744751970294965,NA,NA,0.340895414120309,-0.0447266580085278,0.0042849012252467,NA,NA,7,-1244.90602388348,2503.84111602546,218.002698703199,2.73191510621292e-48,1
-0.0668188739525632,0.0339357756147278,NA,NA,NA,NA,NA,NA,5,-1255.29279004401,2520.60114429035,234.762726968092,6.26719638361071e-52,1
-17.8007175673428,NA,NA,-0.0922747039552554,NA,NA,NA,0.00930877392241123,6,-1259.31235152813,2530.64649859337,244.808081271108,4.12812018102126e-54,1
-17.8060786323322,NA,NA,-0.089570863942977,-0.000323421676575903,NA,NA,0.00930863795055076,7,-1259.31233149977,2532.65373125804,246.815313935781,1.51316851859736e-54,1
-0.427509490720636,0.0362034795217857,NA,-0.109664806717054,0.00169590425499877,NA,NA,0.00037993500816548,8,-1265.91991365327,2547.87721048411,262.038793161847,7.48429307595945e-58,1
-18.769540408449,NA,NA,NA,NA,NA,NA,0.00960328805805265,5,-1271.57016457119,2553.15589334472,267.317476022453,5.34440506082874e-59,1
-1.62594818261311,0.0359383186107724,NA,NA,NA,NA,NA,0.000769923986076239,6,-1279.47605386472,2570.97390326654,285.135485944275,7.22383259023948e-63,1
0.694028267225171,NA,NA,-0.102196334701226,NA,NA,NA,NA,5,-1300.49903187104,2611.01362794442,325.17521062216,1.45966075152016e-71,1
0.563965640338099,NA,NA,-0.0397426667403864,-0.0074700784693187,NA,NA,NA,6,-1300.48825109968,2612.99829773647,327.159880414211,5.41110997999246e-72,1
0.26760049839703,NA,NA,NA,NA,NA,NA,NA,4,-1315.71333416227,2639.43704176853,353.598624446268,9.82168587816018e-78,1
