"(Intercept)","pre","I(pre^2)","tmn","I(tmn^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
49.2594542167539,0.00364219480439498,NA,-3.32368772617612,0.0729075436407209,NA,-2.85842885837437e-06,8,-729.006432519786,1474.18615023813,19.1814016064834,3.83966401398943e-05,0.999880611130907
20.9837727692739,0.00930570796156141,-1.13861597364586e-05,0.0397565562482552,NA,-0.0113003962440977,NA,8,-729.128587506254,1474.43046021106,19.4257115794196,3.39814563017646e-05,0.999914592587209
60.3753829143699,0.00364261779401187,NA,-3.32638718266098,0.0729607547362602,-0.0112574615793228,NA,8,-729.139314296293,1474.45191379114,19.4471651594984,3.36188924046819e-05,0.999948211479613
10.9820865617208,0.00386487816390125,NA,NA,NA,NA,-2.76357382433546e-06,6,-732.035086827928,1476.17101399199,21.166265360346,1.42326423347402e-05,0.999962444121948
10.4839335747885,0.00369817837223135,NA,0.0508913874473169,NA,NA,-2.92482200816743e-06,7,-731.082247250947,1476.29910988651,21.2943612548654,1.33496495720585e-05,0.99997579377152
21.7019237391309,0.00386456010303225,NA,NA,NA,-0.0108866194145873,NA,6,-732.162338745401,1476.42551782694,21.4207691952931,1.25320099242692e-05,0.999988325781444
21.8341565878746,0.00369859233617505,NA,0.0506589539482144,NA,-0.0115216887137808,NA,7,-731.218161331372,1476.57093804736,21.5661894157149,1.16531444654886e-05,0.99999997892591
47.258413602909,0.0104113752836089,-1.35542867468015e-05,-4.15446541426965,0.0899270927289026,NA,NA,8,-737.006186666899,1490.18565853235,35.1809099007103,1.28838049352491e-08,0.999999991809715
-0.675793804010418,0.0101582838169463,-1.2844211941591e-05,NA,NA,NA,NA,6,-740.231160315226,1492.56316096659,37.5584123349415,3.92442511959463e-09,0.99999999573414
44.7613950905378,0.00374366928828018,NA,-3.8830958124642,0.0843370673890983,NA,NA,7,-739.995514514427,1494.12564441347,39.1208957818255,1.79674761634928e-09,0.999999997530888
-0.84445365913416,0.0100468738321636,-1.26700921250979e-05,0.0080079951975429,NA,NA,NA,7,-740.207395169434,1494.54940572348,39.5446570918386,1.45367887100653e-09,0.999999998984566
0.0613200225861627,0.00387512272727702,NA,NA,NA,NA,NA,5,-742.948201677496,1495.96834580104,40.9635971693915,7.15071641744787e-10,0.999999999699638
-0.381000371248634,0.00381044282291784,NA,0.0198238135780148,NA,NA,NA,6,-742.801147610605,1497.70313555735,42.6983869257008,3.00361832962294e-10,1
-1264.746446388,NA,NA,-4.39806197247662,0.0983484700598629,1.34034805216992,-0.000341524586593107,8,-759.333301394021,1534.8398879866,79.8351393549544,2.59120288200364e-18,1
-1278.21598712208,NA,NA,0.154445710873158,NA,1.30112038084328,-0.000331707373908625,7,-762.698433577635,1539.53148253989,84.5267339082413,2.48161614040922e-19,1
59.5108891996725,NA,NA,-4.16386552452442,0.0931797179847922,NA,-3.07404722962942e-06,7,-767.511907297574,1549.15842997976,94.15368134812,2.01497438568927e-21,1
71.4731493575696,NA,NA,-4.16585033124757,0.093217504188118,-0.0121159738494498,NA,7,-767.654266300148,1549.44314798491,94.4383993532676,1.7476071002199e-21,1
9.94749514450668,NA,NA,0.149788974798439,NA,NA,-3.15777329974273e-06,6,-770.521040929159,1553.14292219445,98.1381735628072,2.7481981236287e-22,1
22.2209556336451,NA,NA,0.14956007895313,NA,-0.0124492273757469,NA,6,-770.665561217402,1553.43196277094,98.4272141392937,2.37839331243988e-22,1
-1217.18428197831,NA,NA,NA,NA,1.24108827420441,-0.00031605366404542,6,-771.041753024194,1554.18434638452,99.1795977528789,1.63269720476408e-22,1
11.4918293237853,NA,NA,NA,NA,NA,-2.67534540413304e-06,5,-778.344778645392,1566.76149973683,111.756751105183,3.03257464623904e-25,1
21.8795077123774,NA,NA,NA,NA,-0.0105441581642334,NA,5,-778.464853810973,1567.00165006799,111.996901436344,2.68945026793112e-25,1
