what,site,species,climate_group,model_formula,variable,interaction_coef,p_value,summary
log_agb_inc_dbh,HarvardForest,QURU,water,log_agb_inc ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pre,pre,-3.73E-05,1.48E-27,
log_BAI_dbh,LillyDickey,CAOV,water,log_BAI ~ dbh + pet + I(pet^2) + pre + dbh:pre,pre,-3.61E-06,0.899827668,
log_BAI_dbh,LillyDickey,CAOV,temperature,log_BAI ~ dbh + pet + I(pet^2) + pre + dbh:pet,pet,0.009383879,0.14072277,
log_BAI_dbh,SCBI,qual,water,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,-3.46E-05,0.048188554,
log_BAI_dbh,LillyDickey,LITU,temperature,log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pet,pet,-0.003542149,0.188666881,
log_BAI_dbh,LillyDickey,QUMO,water,log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pre,pre,-1.32E-05,0.165918464,
log_agb_inc_dbh,SCBI,quve,water,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,-3.02E-05,0.009838521,
log_core_measurement_dbh,NewMexico,PIPO,water,log_core_measurement ~ dbh + pre + I(pre^2) + dbh:pre,pre,0.000185781,0.258996093,
log_BAI_dbh,SCBI,quve,water,log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pre,pre,-2.62E-05,0.02805226,
log_core_measurement_dbh,NewMexico,PIST2,temperature,log_core_measurement ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,-0.003259385,0.6323195,
log_core_measurement_dbh,SCBI,caco,temperature,log_core_measurement ~ pet + pre + I(pre^2) + pet:dbh,pet,0.004027743,0.028996774,big trees less sensitive
log_BAI_dbh,LillyDickey,LITU,water,log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pre,pre,5.91E-05,6.67E-07,
log_agb_inc_dbh,LillyDickey,LITU,water,log_agb_inc ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pre,pre,5.95E-05,4.14E-07,
log_agb_inc_dbh,NewMexico,PIST2,temperature,log_agb_inc ~ dbh + pet + wet + I(wet^2) + dbh:pet,pet,0.005725477,0.381731941,
log_BAI_dbh,NewMexico,PIPO,water,log_BAI ~ dbh + pre + I(pre^2) + dbh:pre,pre,0.000250174,0.151408983,
log_BAI_dbh,HarvardForest,TSCA,water,log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pre,pre,7.12E-05,2.24E-05,
log_BAI_dbh,NewMexico,PIST2,temperature,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,-0.004393682,0.499490545,
log_core_measurement_dbh,SCBI,caco,water,log_core_measurement ~ pet + pre + I(pre^2) + pre:dbh,pre,-6.19E-05,0.414880763,
log_core_measurement_dbh,HarvardForest,QURU,temperature,log_core_measurement ~ dbh + pet + I(pet^2) + wet + I(wet^2) + dbh:pet,pet,0.006237875,1.75E-26,big trees less sensitive
log_core_measurement_dbh,SCBI,cagl,water,log_core_measurement ~ pet + pre + pre:dbh,pre,5.65E-06,0.881632505,
log_core_measurement_dbh,SCBI,cagl,temperature,log_core_measurement ~ pet + pre + pet:dbh,pet,-0.000359479,0.726409903,
log_core_measurement_dbh,SCBI,caovl,water,log_core_measurement ~ pet + I(pet^2) + pre + I(pre^2) + pre:dbh,pre,-1.81E-05,0.646912474,
log_core_measurement_dbh,SCBI,caovl,temperature,log_core_measurement ~ pet + I(pet^2) + pre + I(pre^2) + pet:dbh,pet,-0.00109646,0.329297985,
log_agb_inc_dbh,HarvardForest,TSCA,water,log_agb_inc ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pre,pre,8.09E-05,1.52E-05,
log_core_measurement_dbh,SCBI,fram,water,log_core_measurement ~ pet + I(pet^2) + pre + I(pre^2) + pre:dbh,pre,-3.57E-06,0.820427196,
log_core_measurement_dbh,SCBI,fram,temperature,log_core_measurement ~ pet + I(pet^2) + pre + I(pre^2) + pet:dbh,pet,0.000158745,0.736036811,
log_core_measurement_dbh,SCBI,juni,water,log_core_measurement ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,-7.31E-05,0.163585404,
log_core_measurement_dbh,SCBI,juni,temperature,log_core_measurement ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,0.0041007,0.068496796,
log_core_measurement_dbh,SCBI,litu,water,log_core_measurement ~ pet + I(pet^2) + pre + I(pre^2) + pre:dbh,pre,2.55E-05,0.121028478,
log_core_measurement_dbh,SCBI,litu,temperature,log_core_measurement ~ pet + I(pet^2) + pre + I(pre^2) + pet:dbh,pet,-0.000791717,0.127728815,
log_core_measurement_dbh,SCBI,qual,water,log_core_measurement ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,-1.10E-05,0.531684088,
log_agb_inc_dbh,Zofin,FASY,water,log_agb_inc ~ dbh + tmx + I(tmx^2) + wet + dbh:wet,wet,8.76E-05,0.001934877,
log_core_measurement_dbh,SCBI,qumo,water,log_core_measurement ~ pet + pre + I(pre^2) + pre:dbh,pre,1.53E-05,0.318231445,
log_core_measurement_dbh,SCBI,qumo,temperature,log_core_measurement ~ pet + pre + I(pre^2) + pet:dbh,pet,0.000736571,0.110022671,
log_BAI_dbh,Zofin,FASY,water,log_BAI ~ dbh + tmx + I(tmx^2) + wet + dbh:wet,wet,9.15E-05,0.000621677,
log_core_measurement_dbh,SCBI,quru,temperature,log_core_measurement ~ dbh + pet + I(pet^2) + pre + dbh:pet,pet,-0.000766738,0.223864183,
log_core_measurement_dbh,SCBI,quve,water,log_core_measurement ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pre,pre,6.76E-06,0.584504264,
log_core_measurement_dbh,SCBI,quve,temperature,log_core_measurement ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pet,pet,-0.000971476,0.098855964,
log_core_measurement_dbh,SCBI,fagr,water,log_core_measurement ~ dbh + pre + I(pre^2) + dbh:pre,pre,1.98E-05,0.717047528,
log_core_measurement_dbh,LillyDickey,ACSA,temperature,log_core_measurement ~ dbh + pet + I(pet^2) + pre + dbh:pet,pet,0.007346414,1.28E-05,big trees less sensitive
log_core_measurement_dbh,HarvardForest,BEAL,water,log_core_measurement ~ dbh + pet + wet + dbh:wet,wet,-0.007872517,3.48E-07,big trees more sensitive
log_BAI_dbh,Zofin,PCAB,water,log_BAI ~ dbh + tmx + wet + dbh:wet,wet,0.000189889,9.23E-09,
log_agb_inc_dbh,SCBI,cagl,water,log_agb_inc ~ dbh + pet + pre + dbh:pre,pre,-2.96E-05,0.629687489,
log_agb_inc_dbh,SCBI,cagl,temperature,log_agb_inc ~ dbh + pet + pre + dbh:pet,pet,-0.00137244,0.823660741,
log_agb_inc_dbh,SCBI,caovl,water,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,-7.06E-05,0.155610629,
log_agb_inc_dbh,SCBI,caovl,temperature,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,-0.002924958,0.540742733,
log_agb_inc_dbh,SCBI,cato,water,log_agb_inc ~ dbh + pet + pre + dbh:pre,pre,0.000249582,0.121373353,
log_agb_inc_dbh,SCBI,cato,temperature,log_agb_inc ~ dbh + pet + pre + dbh:pet,pet,0.004209075,0.779091136,
log_agb_inc_dbh,SCBI,fram,water,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,2.89E-07,0.989635259,
log_agb_inc_dbh,Zofin,PCAB,water,log_agb_inc ~ dbh + tmx + wet + dbh:wet,wet,0.000213594,1.44E-08,
log_agb_inc_dbh,Zofin,FASY,temperature,log_agb_inc ~ dbh + tmx + I(tmx^2) + wet + dbh:tmx,tmx,0.000289268,2.25E-18,
log_agb_inc_dbh,SCBI,juni,temperature,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,0.009894216,0.051475423,
log_agb_inc_dbh,SCBI,litu,water,log_agb_inc ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pre,pre,-2.31E-06,0.905023076,
log_agb_inc_dbh,SCBI,litu,temperature,log_agb_inc ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pet,pet,-0.002828941,0.162132946,
log_agb_inc_dbh,SCBI,qual,water,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,-3.17E-05,0.069299373,
log_agb_inc_dbh,SCBI,qual,temperature,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,0.002319488,0.167931954,
log_agb_inc_dbh,SCBI,qumo,water,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,-3.74E-06,0.850167911,
log_BAI_dbh,Zofin,FASY,temperature,log_BAI ~ dbh + tmx + I(tmx^2) + wet + dbh:tmx,tmx,0.000302597,3.87E-22,
log_agb_inc_dbh,SCBI,quru,water,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,7.41E-06,0.552609509,
log_agb_inc_dbh,SCBI,quru,temperature,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,-0.000476962,0.712513719,
log_agb_inc_dbh,Zofin,ABAL,temperature,log_agb_inc ~ dbh + tmx + I(tmx^2) + dbh:tmx,tmx,0.000305639,0.020504994,
log_agb_inc_dbh,SCBI,quve,temperature,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,1.62E-05,0.988877965,
log_agb_inc_dbh,SCBI,fagr,water,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,3.47E-05,0.511749301,
log_agb_inc_dbh,SCBI,fagr,temperature,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,0.002783243,0.612028565,
log_BAI_dbh,Zofin,ABAL,temperature,log_BAI ~ dbh + tmx + I(tmx^2) + dbh:tmx,tmx,0.000306676,0.019478019,
log_core_measurement_dbh,HKK,AFXY,water,log_core_measurement ~ dbh + wet + I(wet^2) + dbh:wet,wet,-0.001193706,0.000855131,?
log_core_measurement_dbh,HarvardForest,TSCA,water,log_core_measurement ~ pet + I(pet^2) + wet + wet:dbh,wet,-0.00105925,3.99E-06,big trees more sensitive
log_core_measurement_dbh,LillyDickey,ACSA,water,log_core_measurement ~ dbh + pet + I(pet^2) + pre + dbh:pre,pre,-5.65E-05,0.0006031,
log_BAI_dbh,SCBI,cagl,water,log_BAI ~ dbh + pet + pre + dbh:pre,pre,-2.49E-05,0.664490389,
log_BAI_dbh,SCBI,cagl,temperature,log_BAI ~ dbh + pet + pre + dbh:pet,pet,-0.003350994,0.564949302,
log_BAI_dbh,SCBI,caovl,water,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,-7.22E-05,0.147868039,
log_BAI_dbh,SCBI,caovl,temperature,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,-0.002628098,0.587147881,
log_BAI_dbh,SCBI,cato,water,log_BAI ~ dbh + pet + pre + dbh:pre,pre,0.000256696,0.11282492,
log_BAI_dbh,SCBI,cato,temperature,log_BAI ~ dbh + pet + pre + dbh:pet,pet,0.002883276,0.852416676,
log_BAI_dbh,SCBI,fram,water,log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pre,pre,4.60E-06,0.824982405,
log_agb_inc_dbh,SCBI,pist,water,log_agb_inc ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pre,pre,0.000367189,6.08E-06,
log_BAI_dbh,SCBI,juni,water,log_BAI ~ pet + pre + I(pre^2) + pre:dbh,pre,-2.11E-05,0.560761453,
log_BAI_dbh,SCBI,pist,water,log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pre,pre,0.00038406,3.14E-06,
log_BAI_dbh,SCBI,litu,water,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,8.19E-06,0.671808541,
log_BAI_dbh,SCBI,litu,temperature,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,-0.002044801,0.305765083,
log_core_measurement_dbh,SCBI,quru,water,log_core_measurement ~ dbh + pet + I(pet^2) + pre + dbh:pre,pre,3.55E-05,0.005871386,big trees more sensitive
log_BAI_dbh,SCBI,qual,temperature,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,0.003301479,0.052300197,
log_BAI_dbh,SCBI,qumo,water,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,-4.36E-06,0.82182688,
log_BAI_dbh,SCBI,qumo,temperature,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,-0.001942113,0.323300647,
log_BAI_dbh,SCBI,quru,water,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,4.49E-06,0.719849643,
log_BAI_dbh,SCBI,quru,temperature,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,0.000215146,0.868804773,
log_core_measurement_dbh,LillyDickey,LITU,water,log_core_measurement ~ dbh + pet + I(pet^2) + pre + dbh:pre,pre,7.40E-05,1.14E-07,big trees more sensitive
log_BAI_dbh,SCBI,quve,temperature,log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pet,pet,0.000744049,0.538804325,
log_BAI_dbh,SCBI,fagr,water,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,3.89E-05,0.468646209,
log_BAI_dbh,SCBI,fagr,temperature,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,0.00114601,0.836073938,
log_agb_inc_dbh,ScottyCreek,PIMA,water,log_agb_inc ~ dbh + pre + I(pre^2) + tmx + I(tmx^2) + dbh:pre,pre,0.000440052,2.69E-22,
log_BAI_dbh,ScottyCreek,PIMA,water,log_BAI ~ dbh + pre + I(pre^2) + tmx + I(tmx^2) + dbh:pre,pre,0.000455583,5.38E-25,
log_core_measurement_dbh,Zofin,FASY,water,log_core_measurement ~ dbh + tmx + I(tmx^2) + wet + dbh:wet,wet,0.000101135,4.65E-05,big trees more sensitive
log_BAI_dbh,NewMexico,PIST2,water,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,0.00075671,6.74E-05,
log_BAI_dbh,ScottyCreek,PIMA,temperature,log_BAI ~ dbh + pre + I(pre^2) + tmx + I(tmx^2) + dbh:tmx,tmx,0.001084338,0.001969231,
log_core_measurement_dbh,Zofin,PCAB,water,log_core_measurement ~ dbh + tmx + I(tmx^2) + wet + dbh:wet,wet,0.000160734,3.86E-08,big trees more sensitive
log_agb_inc_dbh,ScottyCreek,PIMA,temperature,log_agb_inc ~ dbh + pre + I(pre^2) + tmx + I(tmx^2) + dbh:tmx,tmx,0.00118046,0.001034779,
log_agb_inc_dbh,HKK,TOCI,water,log_agb_inc ~ dbh + tmp + I(tmp^2) + wet + I(wet^2) + dbh:wet,wet,0.0012202,0.003450585,
log_BAI_dbh,HKK,TOCI,water,log_BAI ~ dbh + tmp + I(tmp^2) + wet + I(wet^2) + dbh:wet,wet,0.002109552,2.75E-07,
log_core_measurement_dbh,ScottyCreek,PIMA,water,log_core_measurement ~ dbh + pre + I(pre^2) + tmx + I(tmx^2) + dbh:pre,pre,0.000316053,1.15E-19,big trees more sensitive
log_core_measurement_dbh,SCBI,pist,water,log_core_measurement ~ dbh + pre + I(pre^2) + dbh:pre,pre,0.000387117,1.39E-06,big trees more sensitive
log_BAI_dbh,SCBI,juni,temperature,log_BAI ~ pet + pre + I(pre^2) + pet:dbh,pet,0.003273302,0.023682658,
log_core_measurement_dbh,Zofin,PCAB,temperature,log_core_measurement ~ dbh + tmx + I(tmx^2) + wet + dbh:tmx,tmx,-2.11E-05,0.541048621,
log_core_measurement_dbh,HarvardForest,QURU,water,log_core_measurement ~ dbh + pet + I(pet^2) + wet + I(wet^2) + dbh:wet,wet,0.000422634,1.58E-09,big trees more sensitive
log_agb_inc_dbh,SCBI,fram,temperature,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,0.004832169,0.028221149,
log_BAI_dbh,SCBI,fram,temperature,log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pet,pet,0.005320392,0.011820387,
log_agb_inc_dbh,LillyDickey,QUMO,temperature,log_agb_inc ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pet,pet,0.005760552,0.006479228,
log_BAI_dbh,LillyDickey,QUMO,temperature,log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pet,pet,0.005791606,0.006762709,
log_core_measurement_dbh,NewMexico,PIST2,water,log_core_measurement ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,0.000708165,0.000368518,big trees more sensitive
log_core_measurement_dbh,HKK,TOCI,water,log_core_measurement ~ dbh + tmx + I(tmx^2) + wet + I(wet^2) + dbh:wet,wet,0.002449423,1.31E-06,big trees more sensitive
log_agb_inc_dbh,NewMexico,PIPO,temperature,log_agb_inc ~ dbh + pet + wet + I(wet^2) + dbh:pet,pet,0.02301321,3.89E-05,
log_BAI_dbh,SCBI,caco,temperature,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,0.03151782,0.01584021,
log_agb_inc_dbh,SCBI,caco,temperature,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,0.031607071,0.016548826,
