"(Intercept)","CO2","I(CO2^2)","pet","I(pet^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw"
4.23094757432375,NA,-3.39298828311598e-05,-0.269173310470391,NA,-0.0297159594737068,NA,7,-4043.42886470121,8100.89521266881,28.8433376815583,3.28260704500098e-07,0.999999921269914
7.01601215489366,-0.0240364180817818,NA,NA,NA,0.150492401187949,-0.00803901692760955,7,-4045.21322389932,8104.46393106504,32.4120560777837,5.51164888933256e-08,0.999999976386403
7.27333061586311,-0.0247793995610694,NA,0.981377453203026,-0.354657317633348,NA,NA,7,-4046.67193165489,8107.38134657617,35.3294715889197,1.28165995395788e-08,0.999999989203002
2.83161888776048,NA,-3.42930092878108e-05,NA,NA,0.151322796817961,-0.00808350416677779,7,-4047.88737363532,8109.81223053704,37.7603555497835,3.80113303484479e-09,0.999999993004135
8.34089241127301,-0.0245205378795392,NA,-0.312090940315422,NA,NA,NA,6,-4049.07439622009,8110.17689548467,38.1250204974222,3.16757628167131e-09,0.999999996171712
8.17107786309897,-0.0244215901873151,NA,NA,NA,-0.0346992322697652,NA,6,-4049.43660603339,8110.90131511128,38.8494401240332,2.2050648132455e-09,0.999999998376777
2.99626144080777,NA,-3.53331246665514e-05,0.943065741802637,-0.344550788573041,NA,NA,7,-4049.54629258967,8113.13006844573,41.0781934584802,7.23525299729603e-10,0.999999999100302
40.5345072112811,-0.213798162643197,0.000271667176412523,NA,NA,NA,NA,6,-4050.82604345165,8113.68018994779,41.6283149605424,5.49536262213933e-10,0.999999999649838
4.0786568297805,NA,-3.49896204558914e-05,-0.31341383071502,NA,NA,NA,6,-4051.81338018306,8115.65486341062,43.6029884233667,2.04739416502626e-10,0.999999999854577
3.92643399601637,NA,-3.48534148142262e-05,NA,NA,-0.0348802105924586,NA,6,-4052.15586254333,8116.33982813115,44.2879531439012,1.45366141181144e-10,0.999999999999944
8.1009596799081,-0.0254290635809606,NA,NA,NA,NA,NA,5,-4061.06994150689,8132.15994990341,60.1080749161574,5.33540593629814e-14,0.999999999999997
3.681234051966,NA,-3.63110629413357e-05,NA,NA,NA,NA,5,-4063.9147643622,8137.84959561404,65.7977206267879,3.10224861684141e-15,1
-0.361221875046205,NA,NA,-0.296124614847313,NA,0.11756129897019,-0.00676019328786342,7,-4135.51357232012,8285.06462790664,213.012752919391,3.34455629759848e-47,1
-0.801401764991383,NA,NA,0.397199922466073,-0.193035298959522,0.0864680971021824,-0.00539496512429784,8,-4134.90142118633,8285.85105127791,213.799176290662,2.25719378272121e-47,1
-0.436849011463414,NA,NA,0.782961012793164,-0.309730080405309,-0.0367205725761357,NA,7,-4136.3734983118,8286.78447988999,214.732604902738,1.41539415439706e-47,1
0.571914656595505,NA,NA,-0.345518519578497,NA,-0.0368827515533803,NA,6,-4138.2343663697,8288.49683578391,216.444960796654,6.01234702743723e-48,1
-1.33385162832759,NA,NA,NA,NA,0.206297077273105,-0.0108673335453201,6,-4145.36973334364,8302.76756973177,230.715694744516,4.78843433937802e-51,1
-0.795275665247975,NA,NA,0.749370447256592,-0.315328242468556,NA,NA,6,-4149.61188642673,8311.25187589796,239.200000910705,6.88414265366559e-53,1
0.230239625359559,NA,NA,-0.399756877096381,NA,NA,NA,5,-4151.53275127338,8313.0855694364,241.033694449148,2.75212635090358e-53,1
0.0448051664052854,NA,NA,NA,NA,-0.0434757114854633,NA,5,-4153.12865402354,8316.27737493671,244.225499949456,5.57926012909342e-54,1
-0.47011138458626,NA,NA,NA,NA,NA,NA,4,-4171.92247670294,8351.85832685957,279.80645187232,1.04778232982321e-61,1
