"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw"
-7.95919635321982,0.0895835722061555,-0.000541672407117932,0.0164060466443388,-9.8522391402031e-05,NA,NA,NA,8,-26013.3571010318,52042.7166994622,779.227614882053,4.72054716278375e-170,1
-2.0286310033734,0.0957459569611073,-0.000529619332650276,NA,NA,NA,NA,-0.00318746666271148,7,-26151.4608382273,52316.9236188421,1053.43453426195,1.35118976792341e-229,1
-7.91381753798784,0.0895035033854889,-0.000537083086507522,NA,NA,NA,NA,NA,6,-26217.0365979115,52446.0746525884,1182.58556800824,1.21878108005269e-257,1
0.737346188192794,0.0369957137692941,NA,0.0157455200908842,0.000627600205369367,0.0412564326377886,-0.000781879003491053,-0.00416026543312102,10,-26289.7438501477,52599.4915158978,1336.00243131769,5.9139428132423e-291,1
0.705622823169116,0.037003356603145,NA,0.0196944592404387,NA,0.0397648262594071,-0.000736961238584279,-0.00414009898268162,9,-26291.8300269806,52601.6631757635,1338.17409118342,1.99667404503027e-291,1
0.943582624436924,0.0369931480021323,NA,0.0159913047284529,0.000575287854084232,0.0174451804830678,NA,-0.00417434968116129,9,-26292.7710463006,52603.5452144034,1340.05612982334,7.79161839995196e-292,1
0.903450325469496,0.0370003216419601,NA,0.0196155009629882,NA,0.0173312599275954,NA,-0.00415502964391669,8,-26294.532190813,52605.0668790245,1341.57779444434,3.64084676130523e-292,1
-6.96931901275047,0.0284021533348584,NA,0.0163635761917025,0.000484327669016208,0.0438047356651144,-0.000867062430815966,NA,9,-26389.3110174911,52796.6251567846,1533.13607220446,0,1
-6.96507539981694,0.0284422043392575,NA,0.0194118619420361,NA,0.0426441181886021,-0.000832084301291245,NA,8,-26390.5531893687,52797.1088761359,1533.6197915558,0,1
-6.77278831204287,0.0284024813523997,NA,0.019321812009044,NA,0.0173149973399288,NA,NA,7,-26393.9952642152,52801.9924708178,1538.50338623773,0,1
-6.7694122096056,0.0283657910844699,NA,0.0166385187650168,0.000425807433716735,0.0173992773566641,NA,NA,8,-26393.0305320232,52802.0635614449,1538.57447686483,0,1
0.612654128807095,0.037061974054021,NA,NA,NA,0.0137775420233935,NA,-0.00394436850587676,7,-26601.8812220682,53217.7643865238,1954.27530194366,0,1
