"(Intercept)","CO2","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-1.41265926475328,0.00422894553313401,NA,NA,0.0140668873622385,NA,0.000609664928697319,0.000305502820872365,8,-84745.4701347777,169506.94135935,246.368806555693,2.02665471103347e-54,1,FALSE
-0.489691123204672,NA,0.0203433126414133,-0.000143446416461673,0.00656407417069815,0.00131391411035901,-0.00205102504051677,0.000409418842122541,10,-84770.7197544406,169561.44117387,300.868621075992,2.96684875391472e-66,1,TRUE
-0.583873641008303,NA,0.0203675008246854,-0.000143488247961537,0.00645594146202114,0.00134001867381277,0.0104076091969788,NA,9,-84772.0283346595,169562.058031573,301.485478778253,2.17944773639824e-66,1,FALSE
-1.37996474162219,0.00355222921745406,0.014931863881509,-0.000142552008157224,0.00739896775754131,0.000711570096531518,NA,NA,9,-84782.2617968863,169582.524956026,321.952403231873,7.83448192878763e-71,1,FALSE
-0.478380304473395,NA,0.0204435243060064,-0.000143469004628889,0.0149532298409747,NA,-0.00498133930008108,0.000497957807714912,9,-84784.9729732681,169587.94730879,327.374755995465,5.2066854439965e-72,1,TRUE
-1.39642920362819,0.00358825899013875,0.0149234268082738,-0.000142538119712799,0.0119710328427011,NA,NA,NA,8,-84786.4558425497,169588.912774894,328.340222099621,3.21301712509845e-72,1,FALSE
-0.593151189801355,NA,0.020475482089443,-0.000143519861311491,0.0150247624716371,NA,0.0101658216086809,NA,8,-84786.9167248525,169589.8345395,329.2619867053,2.02653635600841e-72,1,FALSE
-0.296362710955886,NA,0.00791470595526182,NA,0.00650731176488254,0.00131022875481642,-0.00229212469621576,0.000416435235710762,9,-84856.931154103,169731.86367046,471.291117665241,2.92092547648347e-103,1,TRUE
-0.392063780171808,NA,0.00793462080519748,NA,0.00639693888585984,0.00133681457767985,0.0103798058595517,NA,8,-84858.2866028856,169732.574295566,472.001742771419,2.04743534144449e-103,1,FALSE
-0.284863284515974,NA,0.00800818314328631,NA,0.0148725041334456,NA,-0.00521825613465015,0.000504853551468318,8,-84871.1232679366,169758.247625668,497.675072873535,5.44900740128221e-109,1,TRUE
-1.17775175844936,0.00347463710152738,0.00295667965948603,NA,0.0073294603317653,0.000711291870000517,NA,NA,8,-84871.868032089,169759.737153972,499.1646011782,2.58744088395673e-109,1,FALSE
-0.401106272132286,NA,0.00803486592412168,NA,0.014944787262494,NA,0.0101383846512886,NA,7,-84873.1236427826,169760.248133177,499.675580382405,2.0040691917493e-109,1,FALSE
-1.4021121149102,0.00380595059809702,0.0147617355831596,-0.000141256163244918,NA,NA,-0.0107951975642694,0.000601369340098837,9,-84871.9441489902,169761.889660234,501.317107439623,8.81981834351009e-110,1,TRUE
-1.54614782671053,0.00382853986792019,0.0147593478099413,-0.00014127712145263,NA,NA,0.00748236016279786,NA,8,-84874.7685442175,169765.538178229,504.965625435172,1.42296436418681e-110,1,FALSE
-1.19417213276021,0.0035103786951785,0.00295045610574439,NA,0.0118994614959649,NA,NA,NA,7,-84876.0643560402,169766.129559692,505.557006897696,1.05871038000006e-110,1,FALSE
-1.33054367392486,0.00427776844123228,NA,NA,0.00734965600138954,0.000702308970163771,NA,NA,7,-84897.6953564138,169809.391560439,548.819007644954,4.27123110685316e-120,1,FALSE
-1.34644386425388,0.00431140229779165,NA,NA,0.0118620472551776,NA,NA,NA,6,-84901.785242649,169815.571121002,554.998568207637,1.94392069948542e-121,1,FALSE
-0.419317906967028,NA,0.0204628694777768,-0.000143135639712544,0.00641818797367218,0.000982398359713325,NA,NA,8,-84942.9751097546,169901.951309304,641.378756509454,3.39984393377905e-140,1,FALSE
-0.428989971034729,NA,0.020541081213521,-0.000143164078180414,0.0127399377051731,NA,NA,NA,7,-84951.0067110729,169916.014269757,655.441716963018,3.00417978587892e-143,1,FALSE
-1.19946065216655,0.00372499880526969,0.00290184902956275,NA,NA,NA,-0.0109654677912366,0.000606386718710668,8,-84959.8755794357,169935.752248666,675.179695871717,1.55481333801728e-147,1,TRUE
-1.3446556174776,0.00374770373565642,0.00289802099539405,NA,NA,NA,0.00746427511195549,NA,7,-84962.7506027726,169939.502053157,678.929500362428,2.38461657496855e-148,1,FALSE
-1.43630216104187,0.00385318365664898,0.0147303752160885,-0.000141131672575852,NA,NA,NA,NA,7,-84966.8369019571,169947.674651526,687.102098731382,4.00646516555301e-150,1,FALSE
-1.3504163919028,0.00451208568904825,NA,NA,NA,NA,-0.0107794791193151,0.000599939819792725,7,-84984.7697343562,169983.540316324,722.967763529683,6.5257617684495e-158,1,TRUE
-1.49387809155988,0.00453353885824662,NA,NA,NA,NA,0.00745432268514789,NA,6,-84987.5831439418,169987.166923588,726.594370793231,1.06444555795653e-158,1,FALSE
-0.228170555628382,NA,0.00805407243065993,NA,0.00635513133020122,0.000979879458625831,NA,NA,7,-85028.5333142639,170071.067476139,810.494923345104,6.43205801572155e-177,1,FALSE
-0.237660075115799,NA,0.00812621050216403,NA,0.012660450162142,NA,NA,NA,6,-85036.5345660374,170085.069767779,824.497214984294,5.85856100461032e-180,1,FALSE
-1.23527504182403,0.00377230119038275,0.00288199652816432,NA,NA,NA,NA,NA,6,-85054.5070466385,170121.014728981,860.442176186625,9.1715303035575e-188,1,FALSE
-0.323918565357128,NA,0.0207627531378887,-0.000141925407884076,NA,NA,-0.0176605465463501,0.000830081418559586,8,-85056.6339043891,170129.268898573,868.696345778473,1.47935243918727e-189,1,TRUE
-0.514654630839458,NA,0.0208199269863234,-0.000141998738118258,NA,NA,0.00756868619521446,NA,7,-85062.0332982254,170138.067444062,877.494891268027,1.81757263188312e-191,1,FALSE
-1.38375224251351,0.00455358169774246,NA,NA,NA,NA,NA,NA,5,-85079.0700051542,170168.140464379,907.567911584949,5.3606615160764e-198,1,FALSE
0.0313689264212209,NA,NA,NA,0.00566612680955895,0.00153058085553084,-0.00701934481876202,0.000577395054455624,8,-85099.4448057603,170214.890701315,954.318148520833,3.78036228126733e-208,1,TRUE
-0.10030170259161,NA,NA,NA,0.00550931235404679,0.00156822152795702,0.0105503737350773,NA,7,-85102.0557417043,170218.11233102,957.539778225881,7.55032106192097e-209,1,FALSE
