"(Intercept)","CO2","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw"
-0.369539263232128,NA,0.0170124308474649,-0.000153570377320313,NA,NA,0.0219110332588506,-0.000273314903883653,8,-23627.5140176821,47271.030406359,799.012530115484,1.87516083299591e-174,1
-0.292131474733165,-5.71417484152641e-05,0.0170647716100751,-0.000153311080466465,NA,NA,0.0135968690279111,NA,8,-23627.9424320619,47271.8872351185,799.869358875025,1.22174486426613e-174,1
-0.357631691132465,-4.52745692874469e-05,0.0170611806226039,-0.000153328838215822,NA,NA,0.0218564771853011,-0.000271525132886516,9,-23627.5029908825,47273.0089455573,800.99106931375,6.97275161893778e-175,1
0.462479514987158,-0.000677818330100204,NA,NA,0.0162111648975128,NA,NA,NA,6,-23668.313372789,47348.6281286129,876.610252369333,2.64793446080064e-191,1
0.510479180404505,-0.00095469450578124,0.000819549442547633,NA,0.0162240767436809,NA,NA,NA,7,-23667.5465998699,47349.0950438166,877.077167573079,2.09661111286121e-191,1
0.463208395297298,-0.000679474450248831,NA,NA,0.0160320937813132,2.81661882189598e-05,NA,NA,7,-23668.3082836058,47350.6184112882,878.600535044723,9.78865089461327e-192,1
0.511364308048564,-0.000956888443271228,0.000820438871682633,NA,0.016019703303071,3.21482628493418e-05,NA,NA,8,-23667.5399692373,47351.0823094695,879.064433225947,7.7622679415374e-192,1
0.279166727190573,NA,-0.000724763464401191,NA,0.016088562733558,NA,NA,NA,6,-23672.5428585609,47357.0871001566,885.069223913037,3.85535966683075e-193,1
0.24193237298528,NA,NA,NA,0.016037545268151,NA,NA,NA,5,-23673.862731429,47357.7264507238,885.708574480239,2.80047492214773e-193,1
0.278906280799187,NA,-0.000722761793902645,NA,0.0162369832846906,-2.33125533794004e-05,NA,NA,7,-23672.539364034,47359.0805721448,887.062695901303,1.42294448730764e-193,1
0.241618217723287,NA,NA,NA,0.0163343587467759,-4.65756401936784e-05,NA,NA,6,-23673.8487248986,47359.6988328319,887.680956588381,1.04456231857274e-193,1
0.193240302278595,-0.00032786015336828,NA,NA,NA,NA,0.0135669768719949,NA,6,-23692.9669387981,47397.935260631,925.917384387481,5.19995463325899e-202,1
0.0862502206792595,NA,NA,NA,NA,NA,0.0135681728796635,NA,5,-23694.281654569,47398.5642970037,926.546420760198,3.79669789827666e-202,1
