"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
6.21396245751946,-0.0183367767348751,0.102467461366083,-0.00152759793934565,NA,NA,-0.103656118192362,0.00366307536336794,9,-2779.52879552889,5577.09416898909,145.282860733038,2.02213305178007e-32,1,TRUE
5.63701504406377,-0.0180418771892703,0.101741797532314,-0.00152131030451183,NA,NA,-0.0178810137930595,NA,8,-2786.67405638729,5589.37736917441,157.566060918354,4.35057537655035e-35,1,FALSE
6.07983190373131,-0.0170487478532077,0.052266956468458,NA,NA,NA,-0.103714881954058,0.00366242383978225,8,-2788.82487874688,5593.67901389359,161.867705637538,5.06356530152895e-36,1,TRUE
0.737602268483441,NA,NA,NA,-0.613789315657809,0.244819118063929,-0.0275334995526282,NA,7,-2794.72347130475,5603.46969296497,171.65838470891,3.7882398455916e-38,1,TRUE
0.799199690590078,NA,-0.00628044039551338,NA,-0.597245962348391,0.240511947682534,-0.0273256082644406,NA,8,-2793.73875839208,5603.50677318399,171.695464927936,3.71865253545929e-38,1,TRUE
0.736003169998893,NA,0.00629906799997818,-0.000424117297457076,-0.603652717596737,0.242120220598134,-0.0273427955597204,NA,9,-2793.16234469412,5604.36126731956,172.549959063509,2.42568585990976e-38,1,TRUE
0.717882208875334,NA,NA,NA,-0.627004903343508,0.248766219767376,-0.0220492264095929,-0.000235881016788411,8,-2794.69602161929,5605.42129963841,173.609991382356,1.42774768025533e-38,1,TRUE
0.782838658698046,NA,-0.00625101651699642,NA,-0.608083229979742,0.243746155522003,-0.0228592597826852,-0.000192123492511436,9,-2793.72061658498,5605.47781110128,173.66650284522,1.38797024200107e-38,1,TRUE
5.50266371879546,-0.0167558850608706,0.0517332219805799,NA,NA,NA,-0.0179581095085475,NA,7,-2795.95621747732,5605.93518531011,174.123877054055,1.1042377941984e-38,1,FALSE
0.718446666797351,NA,0.00635497689136408,-0.000424937149334082,-0.615218137270204,0.245570934784433,-0.0225832396869418,-0.000204738109478067,10,-2793.14173846138,5606.32819236991,174.516884113851,9.07240039309391e-39,1,TRUE
0.0210778281522482,NA,-0.00727544609679046,NA,0.276707608411523,NA,-0.0264798567682331,NA,7,-2801.76282803067,5617.5484064168,185.737098160749,3.32111325200675e-41,1,FALSE
-0.0666038719141578,NA,NA,NA,0.275656666159834,NA,-0.0267050096681055,NA,6,-2803.09004859771,5618.19715649679,186.385848240736,2.40109528883948e-41,1,FALSE
-0.040542967229535,NA,0.00404486314690231,-0.000381828719702285,0.276198810498745,NA,-0.0264903190043497,NA,8,-2801.29219767884,5618.61365175753,186.802343501469,1.94970362380434e-41,1,FALSE
0.143955778276413,NA,-0.00735172702128445,NA,0.272516616057387,NA,-0.0469842579729924,0.000879766973370409,8,-2801.35363657085,5618.73652954153,186.925221285477,1.83352158536979e-41,1,TRUE
0.0517660133174626,NA,NA,NA,0.271586453043773,NA,-0.0466166426232598,0.000854335143762438,7,-2802.70295338307,5619.42865712162,187.617348865566,1.29715666870777e-41,1,TRUE
0.0819385104027978,NA,0.00394038296155802,-0.00038088674377891,0.272029717663074,NA,-0.0469018963480978,0.000875787202835483,9,-2800.88657605773,5619.80973004677,187.998421790712,1.07212024865465e-41,1,TRUE
3.10548508593806,-0.00827957220686987,NA,NA,-0.362378493223964,0.163587598131898,NA,NA,7,-2812.38320612761,5638.78916261069,206.977854354631,8.10796905207764e-46,1,TRUE
