"(Intercept)","CO2","dbh","I(dbh^2)","pre","I(pre^2)","tmn","I(tmn^2)","df","logLik","AICc","delta","weight","cw"
-0.212829557360405,NA,0.056165747009514,NA,0.0019069468835834,NA,0.0254680316378458,NA,7,-764.932612358606,1543.91549401703,177.84285881511,1.5771327769063e-39,1
1.67315082196388,NA,0.0561862345575013,NA,0.00190167357737749,NA,-0.141810827383688,0.00370786746306012,8,-764.86219520554,1545.78905138998,179.716416188052,6.1805972354552e-40,1
0.31768264685081,NA,0.0570267278416423,NA,0.00198401135519311,NA,NA,NA,6,-766.985514095099,1546.00871325076,179.936078048839,5.53772616208098e-40,1
8.90895215119375,-0.00673693777305592,0.180961407674636,-0.00225686067148089,NA,NA,-0.720654594544947,0.0177675244505906,9,-770.31436815076,1558.70959883521,192.636963633289,9.66872513071004e-43,1
-0.128348615077992,-0.00671566799602229,0.180656231208661,-0.0022546806200677,NA,NA,0.0810253313045309,NA,8,-771.765203886583,1559.59506875206,193.522433550138,6.21000378087086e-43,1
7.31203788813936,NA,0.155653159458075,-0.00220687675761884,NA,NA,-0.726851389329335,0.0176495094691471,8,-789.167628642379,1594.39991826365,228.32728306173,1.71915415573104e-50,1
-1.66088263462561,NA,0.155450624759097,-0.00220526434872937,NA,NA,0.0695504095607219,NA,7,-790.588424770034,1595.22711883989,229.154483637966,1.13681684070783e-50,1
1.32331358404855,-0.00561842576335329,0.179588736436755,-0.00224749990064884,NA,NA,NA,NA,7,-791.302069827648,1596.65440895512,230.581773753193,5.56875854786392e-51,1
-0.163185701069812,NA,0.157975289599598,-0.0022035657766668,NA,NA,NA,NA,6,-805.087627966019,1622.2129409926,256.14030579068,1.56961692603544e-56,1
-3.28507391113918,0.0112447590106664,NA,NA,0.00486014002384142,-5.41523456324058e-06,0.0262961527373952,NA,8,-843.381105679753,1702.8268723384,336.754237136478,4.90569901921424e-74,1
-2.56547264796243,0.0112452511281316,NA,NA,0.00485322730657892,-5.40618143798171e-06,-0.0374670317734823,0.0014132308785176,9,-843.370846762152,1704.822556058,338.749920856073,1.8086048277104e-74,1
-2.85511756676909,0.0115612596627602,NA,NA,0.00515534922986039,-5.80833721733879e-06,NA,NA,7,-845.503708580656,1705.05768646113,338.98505125921,1.60799897458455e-74,1
-2.93002827019181,0.0110813285948603,NA,NA,0.00189558809832882,NA,0.0304668984022448,NA,7,-848.007849885255,1710.06596907033,343.993333868408,1.31447102383291e-75,1
-1.67807795171238,0.0110826968246574,NA,NA,0.00189217508237929,NA,-0.0805725567071818,0.0024607969904872,8,-847.976863129431,1712.01838723776,345.945752035834,4.95209307546758e-76,1
-2.39585812667991,0.011438484731847,NA,NA,0.00198924384220935,NA,NA,NA,6,-850.874505901766,1713.7866968641,347.714061662173,2.04552712183111e-76,1
9.85219531886588,-0.00544420205484059,0.0710508288634029,NA,NA,NA,-0.744403842427872,0.0183567048645947,8,-849.93438478665,1715.9334305522,349.860795350273,6.99274908020206e-77,1
0.50784179939542,-0.00543632515472851,0.0708983960368853,NA,NA,NA,0.0843060370367242,NA,7,-851.488833756317,1717.02793681245,350.955301610531,4.04556264147587e-77,1
8.60370763716942,NA,0.0540896929964675,NA,NA,NA,-0.758567201638422,0.0184831307957127,7,-860.9199926338,1735.89025456742,369.817619365497,3.24398376259457e-81,1
-0.802842847861507,NA,0.0539578321128697,NA,NA,NA,0.0758549216454113,NA,6,-862.489435392057,1737.01655584468,370.943920642757,1.84716400430994e-81,1
2.01593205359803,-0.00429915706789677,0.0701845541314545,NA,NA,NA,NA,NA,6,-872.632072984739,1757.30183103004,391.229195828121,7.27133106245914e-86,1
0.836151015661505,NA,0.0565118201373714,NA,NA,NA,NA,NA,5,-879.805109931384,1769.63712569237,403.564490490442,1.52418862510704e-88,1
0.26420863366736,NA,NA,NA,0.00448843123055739,-4.73045142732692e-06,0.0414601973726911,NA,7,-908.159309808893,1830.36888891761,464.296253715684,9.89245067986779e-102,1
2.04299919973017,NA,NA,NA,0.00447327145891139,-4.71129998006931e-06,-0.116084767366892,0.00349046312253507,8,-908.094277881144,1832.25321674118,466.18058153926,3.85591370414854e-102,1
0.516593405217791,NA,NA,NA,0.00189704140849942,NA,0.0455320408493787,NA,6,-911.825032734402,1835.68775052937,469.615115327447,6.92353305049086e-103,1
2.69508540246719,NA,NA,NA,0.00189131502677757,NA,-0.147546478167759,0.00427730962324325,7,-911.727872220202,1837.50601374022,471.433378538301,2.78931093978395e-103,1
1.10839627303885,NA,NA,NA,0.00498389563855504,-5.39624948677174e-06,NA,NA,6,-913.582350513568,1839.2023860877,473.129750885778,1.19435753907145e-103,1
1.49624190274852,NA,NA,NA,0.00204257659813069,NA,NA,NA,5,-918.420141218612,1846.86718826682,480.794553064898,2.58668598268467e-105,1
5.01567763089827,0.0106417108218245,NA,NA,NA,NA,-0.669453027213562,0.0166726528887211,7,-942.807211816713,1899.66469293325,533.592057731323,8.86974720351248e-117,1
-3.46981738700986,0.010623315027018,NA,NA,NA,NA,0.0834192201907839,NA,6,-944.081433580461,1900.20055222149,534.127917019564,6.78501600135945e-117,1
-1.94685131773517,0.0116165106653909,NA,NA,NA,NA,NA,NA,5,-964.628967097091,1939.28484002378,573.212204821855,2.21057683864659e-125,1
8.81252797208686,NA,NA,NA,NA,NA,-0.704192622462538,0.0178970417230143,6,-1010.21547369724,2032.46863245504,666.395997253113,1.28795944281172e-145,1
-0.311811154695154,NA,NA,NA,NA,NA,0.104367664365253,NA,5,-1011.73571244275,2033.4983307151,667.425695513173,7.69672644653679e-146,1
2.01835160597017,NA,NA,NA,NA,NA,NA,NA,4,-1045.54344579306,2099.10482076586,733.032185563938,4.36553775263844e-160,1
