"(Intercept)","CO2","I(CO2^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-0.103477307734488,NA,NA,0.00410467519307671,0.00188012971168754,0.0104594655645189,NA,7,-84706.0121955582,169426.025243275,644.529496857518,3.8657615565096e-141,1,FALSE
1.57739580576202,-0.0129885408400732,2.5768671143251e-05,NA,NA,NA,NA,6,-84731.5914396553,169475.183518424,693.687772007339,8.17807791963357e-152,1,FALSE
0.0102038540668248,NA,NA,0.0160098739090166,NA,-0.00598564136193108,0.000529876627281917,7,-84732.858676389,169479.718204936,698.222458519129,8.47142713132762e-153,1,TRUE
-0.60383028657497,NA,6.56842903125554e-06,NA,NA,NA,NA,5,-84735.7725831427,169481.545622792,700.049876374833,3.39733078173181e-153,1,FALSE
-0.110795761268591,NA,NA,0.0160925295675848,NA,0.0101296878973425,NA,6,-84735.0500826824,169482.100804479,700.60505806157,2.57384069121225e-153,1,FALSE
-1.34330514237744,0.00442286182289715,NA,NA,NA,NA,NA,5,-84739.1148408904,169488.230138287,706.734391870152,1.20119561239542e-154,1,FALSE
0.0660506660167152,NA,NA,0.00401826649269483,0.0015289855016005,NA,NA,6,-84878.4993811575,169768.999401429,987.503655011678,1.29223917256092e-215,1,FALSE
0.0556947540939655,NA,NA,0.0138264556170986,NA,NA,NA,5,-84897.7679328672,169805.536322241,1024.04057582369,1.50470496773616e-223,1,FALSE
0.198365381672595,NA,NA,NA,NA,-0.0204618471515153,0.000915865146279195,6,-85042.3663482076,170096.733335529,1315.23758911193,8.80690569454587e-287,1,TRUE
-0.0098757864283624,NA,NA,NA,NA,0.00736791329265821,NA,5,-85048.9148881537,170107.830232814,1326.33448639669,3.42896235623671e-289,1,FALSE
0.105313505419779,NA,NA,NA,NA,NA,NA,4,-85138.1773345553,170284.354973446,1502.85922702888,0,1,FALSE
