"Species","Year","Num_of_trees","sss"
"SCBI_qual",1895,34,0.962
"SCBI_qual",1896,36,0.966
"SCBI_qual",1897,38,0.97
"SCBI_qual",1898,39,0.972
"SCBI_qual",1899,39,0.972
"SCBI_qual",1900,39,0.972
"SCBI_qual",1901,40,0.974
"SCBI_qual",1902,40,0.974
"SCBI_qual",1903,40,0.974
"SCBI_qual",1904,40,0.974
"SCBI_qual",1905,40,0.974
"SCBI_qual",1906,41,0.976
"SCBI_qual",1907,42,0.977
"SCBI_qual",1908,42,0.977
"SCBI_qual",1909,42,0.977
"SCBI_qual",1910,43,0.979
"SCBI_qual",1911,43,0.979
"SCBI_qual",1912,43,0.979
"SCBI_qual",1913,43,0.979
"SCBI_qual",1914,44,0.981
"SCBI_qual",1915,44,0.981
"SCBI_qual",1916,46,0.983
"SCBI_qual",1917,48,0.986
"SCBI_qual",1918,49,0.987
"SCBI_qual",1919,49,0.987
"SCBI_qual",1920,49,0.987
"SCBI_qual",1921,51,0.99
"SCBI_qual",1922,52,0.991
"SCBI_qual",1923,53,0.992
"SCBI_qual",1924,54,0.993
"SCBI_qual",1925,56,0.995
"SCBI_qual",1926,56,0.995
"SCBI_qual",1927,57,0.996
"SCBI_qual",1928,57,0.996
"SCBI_qual",1929,57,0.996
"SCBI_qual",1930,57,0.996
"SCBI_qual",1931,58,0.997
"SCBI_qual",1932,59,0.998
"SCBI_qual",1933,61,0.999
"SCBI_qual",1934,61,0.999
"SCBI_qual",1935,61,0.999
"SCBI_qual",1936,62,1
"SCBI_qual",1937,62,1
"SCBI_qual",1938,62,1
"SCBI_qual",1939,62,1
"SCBI_qual",1940,62,1
"SCBI_qual",1941,62,1
"SCBI_qual",1942,62,1
"SCBI_qual",1943,62,1
"SCBI_qual",1944,62,1
"SCBI_qual",1945,62,1
"SCBI_qual",1946,62,1
"SCBI_qual",1947,62,1
"SCBI_qual",1948,62,1
"SCBI_qual",1949,62,1
"SCBI_qual",1950,62,1
"SCBI_qual",1951,63,1
"SCBI_qual",1952,63,1
"SCBI_qual",1953,64,1
"SCBI_qual",1954,64,1
"SCBI_qual",1955,64,1
"SCBI_qual",1956,64,1
"SCBI_qual",1957,64,1
"SCBI_qual",1958,64,1
"SCBI_qual",1959,64,1
"SCBI_qual",1960,65,1
"SCBI_qual",1961,65,1
"SCBI_qual",1962,65,1
"SCBI_qual",1963,65,1
"SCBI_qual",1964,65,1
"SCBI_qual",1965,65,1
"SCBI_qual",1966,65,1
"SCBI_qual",1967,65,1
"SCBI_qual",1968,65,1
"SCBI_qual",1969,66,1
"SCBI_qual",1970,66,1
"SCBI_qual",1971,66,1
"SCBI_qual",1972,66,1
"SCBI_qual",1973,66,1
"SCBI_qual",1974,66,1
"SCBI_qual",1975,66,1
"SCBI_qual",1976,66,1
"SCBI_qual",1977,66,1
"SCBI_qual",1978,66,1
"SCBI_qual",1979,66,1
"SCBI_qual",1980,66,1
"SCBI_qual",1981,66,1
"SCBI_qual",1982,66,1
"SCBI_qual",1983,66,1
"SCBI_qual",1984,66,1
"SCBI_qual",1985,66,1
"SCBI_qual",1986,66,1
"SCBI_qual",1987,66,1
"SCBI_qual",1988,66,1
"SCBI_qual",1989,66,1
"SCBI_qual",1990,65,1
"SCBI_qual",1991,65,1
"SCBI_qual",1992,64,1
"SCBI_qual",1993,64,1
"SCBI_qual",1994,64,1
"SCBI_qual",1995,63,1
"SCBI_qual",1996,62,1
"SCBI_qual",1997,62,1
"SCBI_qual",1998,60,0.998
"SCBI_qual",1999,60,0.998
"SCBI_qual",2000,60,0.998
"SCBI_qual",2001,60,0.998
"SCBI_qual",2002,60,0.998
"SCBI_qual",2003,58,0.997
"SCBI_qual",2004,58,0.997
"SCBI_qual",2005,58,0.997
"SCBI_qual",2006,57,0.996
"SCBI_qual",2007,57,0.996
"SCBI_qual",2008,54,0.993
"SCBI_qual",2009,53,0.992
"SCBI_litu",1870,1,0.183
"SCBI_litu",1871,1,0.183
"SCBI_litu",1872,1,0.183
"SCBI_litu",1873,1,0.183
"SCBI_litu",1874,1,0.183
"SCBI_litu",1875,1,0.183
"SCBI_litu",1876,1,0.183
"SCBI_litu",1877,1,0.183
"SCBI_litu",1878,1,0.183
"SCBI_litu",1879,1,0.183
"SCBI_litu",1880,2,0.313
"SCBI_litu",1881,2,0.313
"SCBI_litu",1882,2,0.313
"SCBI_litu",1883,2,0.313
"SCBI_litu",1884,2,0.313
"SCBI_litu",1885,2,0.313
"SCBI_litu",1886,2,0.313
"SCBI_litu",1887,2,0.313
"SCBI_litu",1888,2,0.313
"SCBI_litu",1889,2,0.313
"SCBI_litu",1890,2,0.313
"SCBI_litu",1891,2,0.313
"SCBI_litu",1892,2,0.313
"SCBI_litu",1893,2,0.313
"SCBI_litu",1894,2,0.313
"SCBI_litu",1895,2,0.313
"SCBI_litu",1896,2,0.313
"SCBI_litu",1897,2,0.313
"SCBI_litu",1898,2,0.313
"SCBI_litu",1899,2,0.313
"SCBI_litu",1900,2,0.313
"SCBI_litu",1901,2,0.313
"SCBI_litu",1902,2,0.313
"SCBI_litu",1903,2,0.313
"SCBI_litu",1904,2,0.313
"SCBI_litu",1905,2,0.313
"SCBI_litu",1906,3,0.409
"SCBI_litu",1907,3,0.409
"SCBI_litu",1908,4,0.483
"SCBI_litu",1909,4,0.483
"SCBI_litu",1910,4,0.483
"SCBI_litu",1911,4,0.483
"SCBI_litu",1912,4,0.483
"SCBI_litu",1913,5,0.542
"SCBI_litu",1914,6,0.59
"SCBI_litu",1915,8,0.664
"SCBI_litu",1916,8,0.664
"SCBI_litu",1917,9,0.692
"SCBI_litu",1918,11,0.739
"SCBI_litu",1919,14,0.79
"SCBI_litu",1920,16,0.816
"SCBI_litu",1921,17,0.827
"SCBI_litu",1922,22,0.871
"SCBI_litu",1923,26,0.895
"SCBI_litu",1924,30,0.914
"SCBI_litu",1925,33,0.926
"SCBI_litu",1926,35,0.932
"SCBI_litu",1927,36,0.936
"SCBI_litu",1928,38,0.941
"SCBI_litu",1929,40,0.947
"SCBI_litu",1930,43,0.954
"SCBI_litu",1931,45,0.958
"SCBI_litu",1932,46,0.96
"SCBI_litu",1933,50,0.967
"SCBI_litu",1934,50,0.967
"SCBI_litu",1935,52,0.971
"SCBI_litu",1936,54,0.974
"SCBI_litu",1937,56,0.976
"SCBI_litu",1938,58,0.979
"SCBI_litu",1939,60,0.982
"SCBI_litu",1940,63,0.985
"SCBI_litu",1941,63,0.985
"SCBI_litu",1942,64,0.986
"SCBI_litu",1943,65,0.987
"SCBI_litu",1944,66,0.988
"SCBI_litu",1945,67,0.989
"SCBI_litu",1946,68,0.99
"SCBI_litu",1947,69,0.991
"SCBI_litu",1948,70,0.992
"SCBI_litu",1949,72,0.994
"SCBI_litu",1950,79,0.999
"SCBI_litu",1951,79,0.999
"SCBI_litu",1952,81,1
"SCBI_litu",1953,84,1
"SCBI_litu",1954,88,1
"SCBI_litu",1955,90,1
"SCBI_litu",1956,91,1
"SCBI_litu",1957,92,1
"SCBI_litu",1958,93,1
"SCBI_litu",1959,94,1
"SCBI_litu",1960,96,1
"SCBI_litu",1961,96,1
"SCBI_litu",1962,97,1
"SCBI_litu",1963,97,1
"SCBI_litu",1964,98,1
"SCBI_litu",1965,100,1
"SCBI_litu",1966,100,1
"SCBI_litu",1967,100,1
"SCBI_litu",1968,102,1
"SCBI_litu",1969,103,1
"SCBI_litu",1970,104,1
"SCBI_litu",1971,105,1
"SCBI_litu",1972,105,1
"SCBI_litu",1973,105,1
"SCBI_litu",1974,105,1
"SCBI_litu",1975,105,1
"SCBI_litu",1976,105,1
"SCBI_litu",1977,105,1
"SCBI_litu",1978,105,1
"SCBI_litu",1979,105,1
"SCBI_litu",1980,106,1
"SCBI_litu",1981,107,1
"SCBI_litu",1982,106,1
"SCBI_litu",1983,106,1
"SCBI_litu",1984,106,1
"SCBI_litu",1985,107,1
"SCBI_litu",1986,106,1
"SCBI_litu",1987,106,1
"SCBI_litu",1988,104,1
"SCBI_litu",1989,102,1
"SCBI_litu",1990,102,1
"SCBI_litu",1991,97,1
"SCBI_litu",1992,96,1
"SCBI_litu",1993,94,1
"SCBI_litu",1994,88,1
"SCBI_litu",1995,84,1
"SCBI_litu",1996,81,1
"SCBI_litu",1997,76,0.997
"SCBI_litu",1998,73,0.995
"SCBI_litu",1999,73,0.995
"SCBI_litu",2000,73,0.995
"SCBI_litu",2001,72,0.994
"SCBI_litu",2002,72,0.994
"SCBI_litu",2003,72,0.994
"SCBI_litu",2004,72,0.994
"SCBI_litu",2005,72,0.994
"SCBI_litu",2006,71,0.993
"SCBI_litu",2007,71,0.993
"SCBI_litu",2008,71,0.993
"SCBI_litu",2009,70,0.992
"SCBI_litu",2010,1,0.183
"CedarBreaks_PSME",1825,1,0.263
"CedarBreaks_PSME",1826,1,0.263
"CedarBreaks_PSME",1827,2,0.434
"CedarBreaks_PSME",1828,2,0.434
"CedarBreaks_PSME",1829,2,0.434
"CedarBreaks_PSME",1830,2,0.434
"CedarBreaks_PSME",1831,2,0.434
"CedarBreaks_PSME",1832,2,0.434
"CedarBreaks_PSME",1833,2,0.434
"CedarBreaks_PSME",1834,2,0.434
"CedarBreaks_PSME",1835,2,0.434
"CedarBreaks_PSME",1836,2,0.434
"CedarBreaks_PSME",1837,2,0.434
"CedarBreaks_PSME",1838,2,0.434
"CedarBreaks_PSME",1839,2,0.434
"CedarBreaks_PSME",1840,3,0.553
"CedarBreaks_PSME",1841,3,0.553
"CedarBreaks_PSME",1842,3,0.553
"CedarBreaks_PSME",1843,4,0.641
"CedarBreaks_PSME",1844,4,0.641
"CedarBreaks_PSME",1845,4,0.641
"CedarBreaks_PSME",1846,4,0.641
"CedarBreaks_PSME",1847,4,0.641
"CedarBreaks_PSME",1848,4,0.641
"CedarBreaks_PSME",1849,4,0.641
"CedarBreaks_PSME",1850,5,0.709
"CedarBreaks_PSME",1851,5,0.709
"CedarBreaks_PSME",1852,5,0.709
"CedarBreaks_PSME",1853,5,0.709
"CedarBreaks_PSME",1854,5,0.709
"CedarBreaks_PSME",1855,6,0.763
"CedarBreaks_PSME",1856,6,0.763
"CedarBreaks_PSME",1857,6,0.763
"CedarBreaks_PSME",1858,6,0.763
"CedarBreaks_PSME",1859,7,0.807
"CedarBreaks_PSME",1860,7,0.807
"CedarBreaks_PSME",1861,7,0.807
"CedarBreaks_PSME",1862,7,0.807
"CedarBreaks_PSME",1863,7,0.807
"CedarBreaks_PSME",1864,7,0.807
"CedarBreaks_PSME",1865,7,0.807
"CedarBreaks_PSME",1866,7,0.807
"CedarBreaks_PSME",1867,7,0.807
"CedarBreaks_PSME",1868,7,0.807
"CedarBreaks_PSME",1869,7,0.807
"CedarBreaks_PSME",1870,7,0.807
"CedarBreaks_PSME",1871,7,0.807
"CedarBreaks_PSME",1872,7,0.807
"CedarBreaks_PSME",1873,7,0.807
"CedarBreaks_PSME",1874,7,0.807
"CedarBreaks_PSME",1875,7,0.807
"CedarBreaks_PSME",1876,7,0.807
"CedarBreaks_PSME",1877,7,0.807
"CedarBreaks_PSME",1878,7,0.807
"CedarBreaks_PSME",1879,7,0.807
"CedarBreaks_PSME",1880,7,0.807
"CedarBreaks_PSME",1881,7,0.807
"CedarBreaks_PSME",1882,7,0.807
"CedarBreaks_PSME",1883,7,0.807
"CedarBreaks_PSME",1884,7,0.807
"CedarBreaks_PSME",1885,7,0.807
"CedarBreaks_PSME",1886,7,0.807
"CedarBreaks_PSME",1887,7,0.807
"CedarBreaks_PSME",1888,7,0.807
"CedarBreaks_PSME",1889,8,0.843
"CedarBreaks_PSME",1890,8,0.843
"CedarBreaks_PSME",1891,8,0.843
"CedarBreaks_PSME",1892,9,0.873
"CedarBreaks_PSME",1893,9,0.873
"CedarBreaks_PSME",1894,9,0.873
"CedarBreaks_PSME",1895,9,0.873
"CedarBreaks_PSME",1896,9,0.873
"CedarBreaks_PSME",1897,9,0.873
"CedarBreaks_PSME",1898,9,0.873
"CedarBreaks_PSME",1899,9,0.873
"CedarBreaks_PSME",1900,8,0.843
"CedarBreaks_PSME",1901,8,0.843
"CedarBreaks_PSME",1902,8,0.843
"CedarBreaks_PSME",1903,8,0.843
"CedarBreaks_PSME",1904,8,0.843
"CedarBreaks_PSME",1905,8,0.843
"CedarBreaks_PSME",1906,8,0.843
"CedarBreaks_PSME",1907,8,0.843
"CedarBreaks_PSME",1908,8,0.843
"CedarBreaks_PSME",1909,8,0.843
"CedarBreaks_PSME",1910,8,0.843
"CedarBreaks_PSME",1911,8,0.843
"CedarBreaks_PSME",1912,8,0.843
"CedarBreaks_PSME",1913,8,0.843
"CedarBreaks_PSME",1914,8,0.843
"CedarBreaks_PSME",1915,8,0.843
"CedarBreaks_PSME",1916,8,0.843
"CedarBreaks_PSME",1917,8,0.843
"CedarBreaks_PSME",1918,8,0.843
"CedarBreaks_PSME",1919,8,0.843
"CedarBreaks_PSME",1920,8,0.843
"CedarBreaks_PSME",1921,8,0.843
"CedarBreaks_PSME",1922,8,0.843
"CedarBreaks_PSME",1923,8,0.843
"CedarBreaks_PSME",1924,8,0.843
"CedarBreaks_PSME",1925,9,0.873
"CedarBreaks_PSME",1926,9,0.873
"CedarBreaks_PSME",1927,9,0.873
"CedarBreaks_PSME",1928,9,0.873
"CedarBreaks_PSME",1929,9,0.873
"CedarBreaks_PSME",1930,9,0.873
"CedarBreaks_PSME",1931,9,0.873
"CedarBreaks_PSME",1932,9,0.873
"CedarBreaks_PSME",1933,9,0.873
"CedarBreaks_PSME",1934,10,0.899
"CedarBreaks_PSME",1935,10,0.899
"CedarBreaks_PSME",1936,10,0.899
"CedarBreaks_PSME",1937,10,0.899
"CedarBreaks_PSME",1938,10,0.899
"CedarBreaks_PSME",1939,11,0.922
"CedarBreaks_PSME",1940,11,0.922
"CedarBreaks_PSME",1941,11,0.922
"CedarBreaks_PSME",1942,11,0.922
"CedarBreaks_PSME",1943,11,0.922
"CedarBreaks_PSME",1944,11,0.922
"CedarBreaks_PSME",1945,11,0.922
"CedarBreaks_PSME",1946,11,0.922
"CedarBreaks_PSME",1947,11,0.922
"CedarBreaks_PSME",1948,11,0.922
"CedarBreaks_PSME",1949,11,0.922
"CedarBreaks_PSME",1950,11,0.922
"CedarBreaks_PSME",1951,11,0.922
"CedarBreaks_PSME",1952,11,0.922
"CedarBreaks_PSME",1953,11,0.922
"CedarBreaks_PSME",1954,11,0.922
"CedarBreaks_PSME",1955,11,0.922
"CedarBreaks_PSME",1956,11,0.922
"CedarBreaks_PSME",1957,11,0.922
"CedarBreaks_PSME",1958,11,0.922
"CedarBreaks_PSME",1959,11,0.922
"CedarBreaks_PSME",1960,11,0.922
"CedarBreaks_PSME",1961,12,0.941
"CedarBreaks_PSME",1962,12,0.941
"CedarBreaks_PSME",1963,12,0.941
"CedarBreaks_PSME",1964,12,0.941
"CedarBreaks_PSME",1965,12,0.941
"CedarBreaks_PSME",1966,12,0.941
"CedarBreaks_PSME",1967,13,0.959
"CedarBreaks_PSME",1968,13,0.959
"CedarBreaks_PSME",1969,13,0.959
"CedarBreaks_PSME",1970,13,0.959
"CedarBreaks_PSME",1971,13,0.959
"CedarBreaks_PSME",1972,13,0.959
"CedarBreaks_PSME",1973,14,0.974
"CedarBreaks_PSME",1974,14,0.974
"CedarBreaks_PSME",1975,14,0.974
"CedarBreaks_PSME",1976,15,0.988
"CedarBreaks_PSME",1977,15,0.988
"CedarBreaks_PSME",1978,15,0.988
"CedarBreaks_PSME",1979,15,0.988
"CedarBreaks_PSME",1980,15,0.988
"CedarBreaks_PSME",1981,15,0.988
"CedarBreaks_PSME",1982,15,0.988
"CedarBreaks_PSME",1983,15,0.988
"CedarBreaks_PSME",1984,15,0.988
"CedarBreaks_PSME",1985,15,0.988
"CedarBreaks_PSME",1986,15,0.988
"CedarBreaks_PSME",1987,15,0.988
"CedarBreaks_PSME",1988,15,0.988
"CedarBreaks_PSME",1989,15,0.988
"CedarBreaks_PSME",1990,15,0.988
"CedarBreaks_PSME",1991,15,0.988
"CedarBreaks_PSME",1992,15,0.988
"CedarBreaks_PSME",1993,15,0.988
"CedarBreaks_PSME",1994,15,0.988
"CedarBreaks_PSME",1995,15,0.988
"CedarBreaks_PSME",1996,15,0.988
"CedarBreaks_PSME",1997,15,0.988
"CedarBreaks_PSME",1998,3,0.553
"CedarBreaks_PSME",1999,2,0.434
"CedarBreaks_PSME",2000,2,0.434
"CedarBreaks_PSME",2001,2,0.434
"CedarBreaks_PSME",2002,2,0.434
"CedarBreaks_PSME",2003,2,0.434
"CedarBreaks_PSME",2004,2,0.434
"CedarBreaks_PSME",2005,2,0.434
"CedarBreaks_PSME",2006,2,0.434
"CedarBreaks_PSME",2007,2,0.434
