"(Intercept)","CO2","I(CO2^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
22.911335735027,-0.134788031317971,0.000186063044671721,-0.158776927068866,NA,0.0472703676428784,NA,8,-1101.96883961122,2220.03400029267,245.546808630778,3.19253268146801e-54,1,FALSE
-39.5205574662204,NA,-8.74750122266145e-06,13.192953285168,-1.13373005878772,0.0505581812602357,NA,8,-1103.18740403754,2222.47112914531,247.983937483424,9.43886002210554e-55,1,FALSE
21.2754022312211,-0.131302488185574,0.000181138195763415,NA,NA,0.0503394645540556,NA,7,-1105.10373869823,2224.28234370661,249.795152044723,3.81609608144717e-55,1,FALSE
0.932132567896665,-0.00630879627073226,NA,-0.152578367602962,NA,0.0469037464726232,NA,7,-1120.61548434883,2255.30583500782,280.818643345928,6.99767486826802e-62,1,FALSE
-40.5227267071378,NA,NA,13.2306219282706,-1.13788755608088,0.0500514071997028,NA,7,-1121.40690736608,2256.88868104231,282.401489380422,3.17134223087699e-62,1,FALSE
-0.181813522819393,NA,-8.77567856815798e-06,-0.152816197287597,NA,0.0468589178936328,NA,7,-1122.31882600888,2258.71251832793,284.225326666038,1.2740951904612e-62,1,FALSE
-0.076914885337005,-0.00624261422196533,NA,NA,NA,0.0498586832022658,NA,6,-1123.50681903331,2259.06975029107,284.582558629182,1.06568767027341e-62,1,FALSE
-1.17987522311826,NA,-8.69107703576295e-06,NA,NA,0.0498178797051819,NA,6,-1125.22071241103,2262.49753704652,288.010345384627,1.91997469419472e-63,1,FALSE
-1.03720737138994,NA,NA,-0.164649843271171,NA,0.0462724278487837,NA,6,-1140.93462352826,2293.92535928097,319.438167619085,2.87627639606463e-70,1,FALSE
-2.10210491831583,NA,NA,NA,NA,0.0494440026329957,NA,5,-1144.36381554022,2298.76768448498,324.280492823089,2.55465971432137e-71,1,FALSE
44.1330495917795,-0.142724287186454,0.000197345678102565,-5.46690834403353,0.371747336708111,NA,NA,8,-1361.12672807636,2738.34977722296,763.862585561067,8.98037453390796e-167,1,TRUE
31.3330144922333,-0.142256014211635,0.000196663207129124,-1.11452237462143,NA,NA,NA,7,-1362.69980856183,2739.47448343382,764.987291771936,5.11761486367306e-167,1,FALSE
19.963515306021,-0.00648105260049228,NA,-5.17857964398063,0.348555909049039,NA,NA,7,-1376.22921033034,2766.53328697084,792.046095308947,6.81275965004359e-173,1,TRUE
8.03851288493062,-0.00648295320690097,NA,-1.09793582478929,NA,NA,NA,6,-1377.61710471643,2767.29032165731,792.803129995426,4.66589621154581e-173,1,FALSE
18.7607737286133,NA,-9.01284570533844e-06,-5.16071323329621,0.347115473710432,NA,NA,7,-1377.57992327294,2769.23471285605,794.747521194157,1.76488287855746e-173,1,TRUE
6.88493638141821,NA,-9.01680702895347e-06,-1.09694615628318,NA,NA,NA,6,-1378.95699868038,2769.97010958521,795.482917923321,1.221874268894e-173,1,FALSE
17.4729680044019,NA,NA,-5.05674918386243,0.338651740810058,NA,NA,6,-1392.63027207815,2797.31665638074,822.829464718853,1.40863778298007e-179,1,TRUE
5.88689140985092,NA,NA,-1.09217766196455,NA,NA,NA,5,-1393.95198048615,2797.94401437683,823.456822714943,1.02936708006798e-179,1,FALSE
19.3824816013864,-0.111322073943781,0.000153340854301008,NA,NA,NA,NA,6,-1518.33420874193,3048.72452970832,1074.23733804643,3.59975784141954e-234,1,FALSE
1.32730497414718,-0.0055617823486867,NA,NA,NA,NA,NA,5,-1528.63477738929,3067.30960818312,1092.82241652123,3.31569651443205e-238,1,FALSE
0.347139307108984,NA,-7.77859057479306e-06,NA,NA,NA,NA,5,-1529.68531311986,3069.41067964425,1094.92348798237,1.15966594005802e-238,1,FALSE
-0.489363628037168,NA,NA,NA,NA,NA,NA,4,-1543.37491096721,3094.77650639072,1120.28931472883,3.59926322813503e-244,1,FALSE
