"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","Year","df","logLik","AICc","delta","weight","cw"
-0.818052132606701,0.305133913119647,-0.00445528089073495,NA,NA,-0.287153176196635,0.00774259041263765,-0.00350214514096262,9,793.100633867667,-1568.135454207,76.4827469752499,1.24832463319054e-17,1
-9.75471987407195,0.2912271277175,-0.00435060032890216,NA,NA,-0.0210644040742888,NA,NA,7,785.299811056611,-1556.55870139711,88.0594997851376,3.82355735065954e-20,1
-3.2123946229801,0.304953071061182,-0.0044511485192354,NA,NA,-0.0209785497961665,NA,-0.00344355980062479,8,786.206394086412,-1556.36015659388,88.2580445883714,3.46221594738325e-20,1
-6.68866301134981,0.118098615839069,NA,0.0164201442135103,-0.00020002007319909,-0.312348936942483,0.00902111232967309,NA,9,776.465678609107,-1534.86554368988,109.75265749237,7.44488965197044e-25,1
-4.49460151617595,0.120736312846332,NA,0.016419807310356,-0.000200017318720885,-0.312309192623143,0.00902045678623428,-0.00114502997831932,10,776.519573403166,-1532.95867862784,111.659522554409,2.86937809095405e-25,1
-7.26870838958348,0.118010181806259,NA,0.00477663602107952,NA,-0.225870815480896,0.00652010190992579,NA,8,772.314508862695,-1528.57638614644,116.041815035805,3.207635834187e-26,1
-5.11482041486763,0.120594417118715,NA,0.00477646952911947,NA,-0.225833331531154,0.00651950501597844,-0.0011240016948582,9,772.366587932138,-1526.66736233594,117.950838846308,1.23493984487115e-26,1
-9.30702798640372,0.118345509366272,NA,0.010354233192294,-9.10749906976242e-05,NA,NA,NA,7,768.300650035658,-1522.5603793552,122.057821827045,1.58425753105374e-27,1
-9.23001036193064,0.118259100216985,NA,0.0050176376366254,NA,NA,NA,NA,6,767.292347678098,-1522.55401602822,122.064185154029,1.57922496691361e-27,1
-9.28115635934401,0.118390922870792,NA,0.0102611732425058,-9.17352995595048e-05,-0.00136726659696337,NA,NA,8,768.371901832965,-1520.69117208698,123.927029095265,6.22203685501441e-28,1
-9.20630848628953,0.118299209833789,NA,0.00489949224241609,NA,-0.00122607095845489,NA,NA,7,767.349640947132,-1520.65836117815,123.959840004097,6.12079424917796e-28,1
-7.13327867684058,0.120955873489899,NA,0.0103531445853418,-9.10875286079853e-05,NA,NA,-0.00113413986119317,8,768.353629840366,-1520.65462810178,123.963573080463,6.10938020868605e-28,1
