"Species","coef","significant","significant2","ci.lower","ci.upper","chg_rad_inc_clim","chg_rad_inc_1SD_clim","variable","month"
"CedarBreaks_PSME",0.0325638584981749,FALSE,FALSE,-0.311463266335829,0.317380179641788,0.00033233061820433,0.00489168485492431,"pre","curr.may"
"CedarBreaks_PSME",0.158612823682939,FALSE,FALSE,-0.227687366866934,0.427515222754216,0.00169422768865736,0.0210714137589505,"pre","curr.jun"
"CedarBreaks_PSME",0.164055661784249,FALSE,FALSE,-0.129588268343634,0.446045128799714,0.00130302231378185,0.0252202875484751,"pre","curr.jul"
"CedarBreaks_PSME",0.0704330490852621,FALSE,FALSE,-0.261888409683887,0.360160751692792,0.000440255463842854,0.0103866729728592,"pre","curr.aug"
"CedarBreaks_PSME",-0.456517644284256,TRUE,FALSE,-0.700196093791944,-0.107373607862038,-0.0338953957210664,-0.0770764954430077,"wet","prev.apr"
"CedarBreaks_PSME",0.0236119019466385,FALSE,FALSE,-0.395647676101938,0.44815591524284,0.00161748459485919,0.00369396608095946,"wet","prev.may"
"CedarBreaks_PSME",0.280505771358946,FALSE,FALSE,-0.0833947492067044,0.609829244106116,0.0168879878276448,0.0418360722094362,"wet","prev.jun"
"CedarBreaks_PSME",0.0826134891781893,FALSE,FALSE,-0.213969816997044,0.388384612657926,0.00606617684798166,0.0122321823874853,"wet","prev.jul"
"CedarBreaks_PSME",-0.0443965883359763,FALSE,FALSE,-0.426378958702911,0.318696750482133,-0.00298283159072043,-0.00661877759719972,"wet","prev.aug"
"CedarBreaks_PSME",-0.273488270483238,FALSE,FALSE,-0.543664592589209,0.048631201884203,-0.0170480220006096,-0.0432432615136038,"wet","prev.sep"
"CedarBreaks_PSME",0.117851058098459,FALSE,FALSE,-0.114413833108904,0.331813268425937,0.00767381647024384,0.0188714775562404,"wet","prev.oct"
"CedarBreaks_PSME",-0.143787079724097,FALSE,FALSE,-0.487216958966313,0.277633403591602,-0.0120208201774856,-0.0246030570475391,"wet","prev.nov"
"CedarBreaks_PSME",0.141246433182332,FALSE,FALSE,-0.288829310679819,0.596181950270904,0.0078351402145382,0.0208879790095566,"wet","prev.dec"
"CedarBreaks_PSME",0.120148967837374,FALSE,FALSE,-0.227887102919143,0.431116478965394,0.00684156608377479,0.0178106974847243,"wet","curr.jan"
"CedarBreaks_PSME",0.0286643966450008,FALSE,FALSE,-0.310092673835279,0.370363284472707,0.00166718079286686,0.00412543438807852,"wet","curr.feb"
"CedarBreaks_PSME",0.142328685538049,FALSE,FALSE,-0.290017961057085,0.488514215408805,0.00714702263152591,0.0201552905434551,"wet","curr.mar"
"CedarBreaks_PSME",0.228581346272455,FALSE,FALSE,-0.24845885692259,0.626386399648565,0.0166784431922161,0.0379637890312941,"wet","curr.apr"
"CedarBreaks_PSME",0.0559860988691463,FALSE,FALSE,-0.259730878048028,0.336378509995807,0.00377344987766952,0.00861774318526898,"wet","curr.may"
"CedarBreaks_PSME",0.0470967995218914,FALSE,FALSE,-0.287336311963516,0.343562759405841,0.00284807333935375,0.0070665860041121,"wet","curr.jun"
"CedarBreaks_PSME",0.162527020710915,FALSE,FALSE,-0.110330783765618,0.455148330601819,0.0118970639245105,0.023950865119231,"wet","curr.jul"
"CedarBreaks_PSME",0.0253054701222292,FALSE,FALSE,-0.286963548818399,0.342455046811237,0.0017089193986363,0.00381848462416228,"wet","curr.aug"
"CedarBreaks_PSME",0.173663542190023,FALSE,FALSE,-0.116499848513073,0.473857186131302,0.0155252945838651,0.025642623915855,"tmp","prev.apr"
"CedarBreaks_PSME",0.0702191382979429,FALSE,FALSE,-0.359326282219811,0.45326649756557,0.00705967371471485,0.0107594383233053,"tmp","prev.may"
"CedarBreaks_PSME",0.310895898722214,FALSE,FALSE,-0.190111346118819,0.653865892210491,0.0363180411403988,0.0504957477768834,"tmp","prev.jun"
"CedarBreaks_PSME",0.250913803415693,FALSE,FALSE,-0.164109104185222,0.574909845830778,0.0519303956746069,0.0498172613506511,"tmp","prev.jul"
"CedarBreaks_PSME",0.200947938634027,FALSE,FALSE,-0.176715658284753,0.544648075332127,0.0306251312292296,0.028767035005673,"tmp","prev.aug"
"CedarBreaks_PSME",0.317927848409454,FALSE,FALSE,-0.1401811947868,0.677748644505518,0.0364654360270995,0.0454606524438229,"tmp","prev.sep"
"CedarBreaks_PSME",-0.111533434392373,FALSE,FALSE,-0.435414694419218,0.247151760337794,-0.0106698114616304,-0.0160040528617322,"tmp","prev.oct"
"CedarBreaks_PSME",-0.0533562203827783,FALSE,FALSE,-0.371359704575397,0.305452566671448,-0.00456017539493585,-0.00745083626045105,"tmp","prev.nov"
"CedarBreaks_PSME",0.0777342767647255,FALSE,FALSE,-0.267089902491333,0.423134898350238,0.00567284359451037,0.0119248584024467,"tmp","prev.dec"
"CedarBreaks_PSME",0.148776169077316,FALSE,FALSE,-0.12021785286491,0.402315141017998,0.0101964235321361,0.024734567165004,"tmp","curr.jan"
"CedarBreaks_PSME",0.257756785890914,FALSE,FALSE,-0.172508929624618,0.615249949202254,0.0178864449020549,0.0403639459000975,"tmp","curr.feb"
"CedarBreaks_PSME",0.32746700375564,FALSE,FALSE,-0.0795326648598814,0.652422598536807,0.0263627456364415,0.0481663621187569,"tmp","curr.mar"
"CedarBreaks_PSME",-0.512192166053028,TRUE,TRUE,-0.715912608421746,-0.265125772676278,-0.0471126882668035,-0.0776818800226374,"tmp","curr.apr"
"CedarBreaks_PSME",0.00531191483983943,FALSE,FALSE,-0.336262949456781,0.367529998276954,0.000534891965510204,0.00082389803895634,"tmp","curr.may"
"CedarBreaks_PSME",0.0758126531842983,FALSE,FALSE,-0.261802825465537,0.395425750161128,0.00890674379066839,0.0123591780089271,"tmp","curr.jun"
"CedarBreaks_PSME",-0.0624826541124987,FALSE,FALSE,-0.402984900527868,0.301854513326899,-0.0130834514459864,-0.0124880719943234,"tmp","curr.jul"
"CedarBreaks_PSME",-0.023765877196516,FALSE,FALSE,-0.430521732244834,0.329547481265071,-0.00360020575039646,-0.00336987186121959,"tmp","curr.aug"
"CedarBreaks_PSME",0.0228795367664719,FALSE,FALSE,-0.268452641817189,0.359560040801395,0.0027586321959907,0.0037042619915381,"tmn","prev.apr"
"CedarBreaks_PSME",0.0944028131468126,FALSE,FALSE,-0.309108645619217,0.429493323301808,0.0128248512768421,0.0162614153374617,"tmn","prev.may"
"CedarBreaks_PSME",0.397624899670243,FALSE,FALSE,-0.041471464244297,0.686132040994996,0.0539863840603956,0.0673426652698556,"tmn","prev.jun"
"CedarBreaks_PSME",0.344631806297279,FALSE,FALSE,-0.0154439883386171,0.611607606588618,0.0642468428065591,0.0643600498333897,"tmn","prev.jul"
