"(Intercept)","dbh","I(dbh^2)","tmp","I(tmp^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw"
-205.561133519379,NA,NA,16.5173373518921,-0.333163655159199,-1.30279921242805,0.0950944841687313,NA,8,-7676.25829738251,15368.5366225814,1569.89622139249,0,1
9.40798761300007,NA,NA,-0.385270415030361,NA,-1.47984572547581,0.107252295654155,NA,7,-7701.55781457192,15417.1312041682,1618.49080297923,0,1
-60.7905565706539,NA,NA,NA,NA,0.205291053557033,NA,0.0271897685235012,6,-7721.60579364693,15455.2232669379,1656.58286574896,0,1
-50.6273637190347,NA,NA,-0.639372388590608,NA,NA,NA,0.0310207212909457,6,-7736.75781541186,15485.5273104678,1686.88690927884,0,1
-302.612115317958,NA,NA,23.7457642006636,-0.475575898417665,0.135603551837644,NA,NA,7,-7761.94048786092,15537.8965507462,1739.25614955724,0,1
10.4341248112384,0.0643161424227954,NA,NA,NA,NA,NA,-0.0089217199441706,6,-7772.16093046126,15556.3335405666,1757.69313937764,0,1
-6.99214693476885,0.0554524198477575,NA,NA,NA,NA,NA,NA,5,-7791.12826340941,15592.2648682619,1793.62446707296,0,1
3.23655598787924,NA,NA,-0.380782982428821,NA,0.146007978379792,NA,NA,6,-7815.06494410202,15642.1415678481,1843.50116665914,0,1
-0.841987174198357,NA,NA,NA,NA,-1.41325898666089,0.106853839331904,NA,6,-7823.5136375516,15659.0389547473,1860.39855355831,0,1
-361.712197249506,NA,NA,28.6999561825907,-0.577424239695045,NA,NA,NA,6,-7915.72357100584,15843.4588216557,2044.8184204668,0,1
-6.87128122721929,NA,NA,NA,NA,0.205759597735613,NA,NA,5,-7930.66978108379,15871.3479036106,2072.7075024217,0,1
