"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
16.0571188045958,0.0154772457909559,-0.000182092232487347,-0.496972137576472,NA,NA,NA,NA,7,-8634.22588627449,17282.4670563918,418.068397801897,1.64513951406187e-91,1,FALSE
21.5137924940761,NA,NA,-0.492082866075472,NA,NA,NA,-0.00270139769742761,6,-8637.29622678506,17286.6039148882,422.20525629829,2.07919549241026e-92,1,FALSE
16.1368998529615,0.00253282064200561,NA,-0.493860650543883,NA,NA,NA,NA,6,-8640.29970640036,17292.6108741188,428.212215528893,1.03157474577779e-93,1,FALSE
16.2019877025629,NA,NA,-0.493507029377929,NA,NA,NA,NA,5,-8642.56859782092,17295.1453811807,430.746722590851,2.90495551259558e-94,1,FALSE
22.1063206005289,0.0249251832075483,-0.000155345825575125,NA,NA,NA,NA,-0.0109760544624147,7,-8937.79953463909,17889.614353121,1025.2156945311,2.37597790499277e-223,1,FALSE
21.6327634632635,0.0135112727698169,NA,NA,NA,NA,NA,-0.0106558391131257,6,-8941.93983442293,17895.8911301639,1031.49247157405,1.03004827876952e-224,1,FALSE
7.33629915686564,NA,NA,NA,NA,NA,NA,-0.00324241097368646,5,-8964.73177937891,17939.4717442967,1075.07308570682,3.5436226001988e-234,1,FALSE
0.718246017878528,0.0111464426795736,-0.00012445766154323,NA,NA,NA,NA,NA,6,-8967.38429009174,17946.7800415015,1082.38138291166,9.17214451389507e-236,1,FALSE
0.838785649220354,0.00229599151343501,NA,NA,NA,NA,NA,NA,5,-8969.96714055382,17949.9424666465,1085.54380805664,1.88694392292705e-236,1,FALSE
0.907835360841561,NA,NA,NA,NA,NA,NA,NA,4,-8971.67554822824,17951.356552738,1086.95789414816,9.30452271699233e-237,1,FALSE
