"(Intercept)","pre","I(pre^2)","tmx","I(tmx^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
14.2919919809945,0.001361131276674,NA,NA,NA,NA,-4.0275416803749e-06,6,-1204.37909690457,2420.760497767,913.193488422404,5.04142759329626e-199,1
29.6840702872044,0.00136086848667044,NA,NA,NA,-0.0157492355994174,NA,6,-1210.81141326373,2433.62513048533,926.058121140728,8.11024611227718e-202,1
-627.936832079904,NA,NA,NA,NA,0.654455691555172,-0.000170697321883019,6,-1279.97124166382,2571.94478728551,1064.37777794092,7.46968331618463e-232,1
13.8940508481584,NA,NA,0.0124252158597828,NA,NA,-3.97958891193188e-06,6,-1307.51323002685,2627.02876401156,1119.46175466696,8.16523377254896e-244,1
29.0997297684546,NA,NA,0.0124169246350877,NA,-0.0155600359666633,NA,6,-1314.03888705745,2640.08007807278,1132.51306872818,1.19649746830349e-246,1
3.76214505872246,0.00494649331180252,-3.35193149189682e-05,-0.456604041971419,0.010103072032917,NA,NA,8,-1378.49303877371,2772.99002740616,1265.42301806156,1.64771839914506e-275,1
14.1068546413616,NA,NA,NA,NA,NA,-3.96073618317032e-06,5,-1424.32188208806,2858.64540981517,1351.07840047057,4.14050228336689e-294,1
29.2416601777594,NA,NA,NA,NA,-0.0154870045788882,NA,5,-1430.72127071902,2871.44418707709,1363.8771777325,6.88388899387435e-297,1
3.23868544811017,0.00102329688590725,NA,-0.402901448439272,0.00895959374283658,NA,NA,7,-1464.94221127659,2943.88749458127,1436.32048523667,1.27929148304421e-312,1
-1.59032188756597,0.00428217608249916,-2.59281472205724e-05,0.00961829262556032,NA,NA,NA,7,-1551.013616721,3116.03030547009,1608.46329612549,0,1
4.10067974717956,NA,NA,-0.474574208000333,0.0105443204895346,NA,NA,6,-1587.88913488851,3187.78057373489,1680.21356439029,0,1
-1.52495536696575,0.00122733239992003,NA,0.0103605666885943,NA,NA,NA,6,-1603.60440594272,3219.21111584331,1711.64410649872,0,1
-1.38188149912651,0.00468924708223828,-2.86375569822625e-05,NA,NA,NA,NA,6,-1622.2154398401,3256.43318363808,1748.86617429348,0,1
-1.29119130843138,0.00132273135367616,NA,NA,NA,NA,NA,5,-1686.5963703914,3383.19438642186,1875.62737707726,0,1
-1.50079603991138,NA,NA,0.012129668772977,NA,NA,NA,5,-1785.07560021972,3580.15284607849,2072.58583673389,0,1
-1.22122681243036,NA,NA,NA,NA,NA,NA,4,-1898.95174234788,3805.90458175838,2298.33757241378,0,1
