"(Intercept)","CO2","I(CO2^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw"
-0.694556124027078,NA,NA,0.0436344225378171,-0.000524608400145619,NA,NA,6,-37.881735052933,87.8438528809856,28.7782646075633,1.65621451896715e-07,0.999999861977683
-3.69961781086836,NA,NA,0.0383678909213347,-0.00043903055487949,0.326607144398988,-0.00862746675600919,8,-36.7619962124759,89.6620557039546,30.5964674305324,6.67265792143095e-08,0.999999928704262
-0.671485621721468,NA,NA,0.0436305220564751,-0.000525909902694319,-0.00114885298324825,NA,7,-37.8697851327511,89.8468499589887,30.7812616855665,6.08374914729841e-08,0.999999989541754
-5.14130633881658,NA,NA,0.0122934297580897,NA,0.517319187576167,-0.0136246199893541,7,-40.013576479289,94.1344326520646,35.0688443786423,7.13073909157326e-09,0.999999996672493
-0.248422773647453,NA,NA,0.0124751065457961,NA,NA,NA,5,-43.1109077336182,96.2791768439095,37.2135885704872,2.44010920033343e-09,0.999999999112602
-0.248985575618515,NA,NA,0.0124770000452101,NA,2.67373496834178e-05,NA,6,-43.1109012770062,98.302185329132,39.2365970557097,8.87398216296513e-10,1
7.53000420050481,-0.0717765377166591,9.80316776811737e-05,NA,NA,0.60915700739873,-0.0168051579247428,8,-65.7355532770789,147.609169833161,88.5435815597384,1.74278136187568e-20,1
-3.27614105250207,-0.00655835327313559,NA,NA,NA,0.61176040148932,-0.0168732075339744,7,-67.6733776016763,149.454034896839,90.3884466234169,6.92844140208309e-21,1
-4.37315790943931,NA,-9.74007375468078e-06,NA,NA,0.611801661531849,-0.0168744986141026,7,-68.0698038583114,150.246887410109,91.1812991366871,4.66090029284574e-21,1
13.6669243598939,-0.072354098099356,9.89765352959095e-05,NA,NA,-0.0293608828485491,NA,7,-69.9039291208514,153.915137935189,94.8495496617672,7.44593656311076e-22,1
2.78218353178034,-0.00650922334717502,NA,NA,NA,-0.029354370295549,NA,6,-71.8902944466918,155.860971668503,96.7953833950809,2.81440701958184e-22,1
1.69373269183103,NA,-9.6656594373339e-06,NA,NA,-0.0293642379772005,NA,6,-72.2893964621803,156.65917569948,97.593587426058,1.88824829956451e-22,1
13.4880586705738,-0.0743921645337386,0.000101640679723343,NA,NA,NA,NA,6,-78.0969762991376,168.274335373395,109.208747099973,5.67360668806036e-25,1
2.30857784185588,-0.00676925444228971,NA,NA,NA,NA,NA,5,-80.1006867720926,170.258734920858,111.193146647436,2.10354757733408e-25,1
1.17649963570333,NA,-1.00522727385632e-05,NA,NA,NA,NA,5,-80.5081802529621,171.073721882597,112.008133609175,1.3995234154069e-25,1
-5.27682792880741,NA,NA,NA,NA,0.598499092751968,-0.0165360501155518,6,-82.7832461279968,177.646875031113,118.581286757691,5.2316429735683e-27,1
0.677371072817771,NA,NA,NA,NA,-0.0298661294536857,NA,5,-86.8997678287569,183.856897034187,124.791308760765,2.34503297653311e-28,1
0.10959404329394,NA,NA,NA,NA,NA,NA,4,-95.507047391658,199.052299176821,139.986710903399,1.17627618365676e-31,1
