"with_CO2","what","site","sp","parameter","Value","Std.Error","DF","t.value","p.value"
FALSE,"log_BAI_dbh","SCBI","LITU","I(pre^2)",-0.000179836503353265,2.11105705224115e-05,6725,-8.5187893506879,1.96869787630416e-17
FALSE,"log_BAI_dbh","SCBI","LITU","tmx",0.0999443435136387,0.0120432803563992,6725,8.29876417022318,1.25970697589166e-16
FALSE,"log_BAI_dbh","SCBI","LITU","I(tmx^2)",0.00904533286992239,0.00101440169814638,6725,8.91691416373908,6.08922059884598e-19
FALSE,"log_BAI_dbh","SCBI","QUAL","(Intercept)",-0.0590733282722999,0.122873463604024,6174,-0.480765549693231,0.63070017282014
FALSE,"log_BAI_dbh","SCBI","QUAL","dbh",0.132335159259754,0.00785230332735182,6174,16.8530370953441,2.42579999592832e-62
FALSE,"log_BAI_dbh","SCBI","QUAL","I(dbh^2)",-0.00125643588564596,0.000116824191336399,6174,-10.7549290200351,9.68184723955885e-27
FALSE,"log_BAI_dbh","SCBI","QUAL","pre",0.00879638491588228,0.000659093004616804,6174,13.3461967495718,4.45960521810648e-40
FALSE,"log_BAI_dbh","SCBI","QUAL","I(pre^2)",-0.00018438069079423,1.76682420526528e-05,6174,-10.4357122935468,2.76198914219596e-25
FALSE,"log_BAI_dbh","SCBI","QUAL","tmx",0.100580552700386,0.00992635524907887,6174,10.1326771182927,6.08471031345469e-24
FALSE,"log_BAI_dbh","SCBI","QUAL","I(tmx^2)",0.00865051210278977,0.000830855559244003,6174,10.4115715500067,3.54475463304709e-25
FALSE,"log_BAI_dbh","SCBI","QUMO","(Intercept)",0.00299239720316128,0.116415953762011,5444,0.0257043567179688,0.979494090959049
FALSE,"log_BAI_dbh","SCBI","QUMO","dbh",0.123676076427872,0.00737072497342374,5444,16.7793638853444,1.19629227576466e-61
FALSE,"log_BAI_dbh","SCBI","QUMO","I(dbh^2)",-0.00114528143475669,0.000111736534287675,5444,-10.2498385336355,1.97395818616499e-24
FALSE,"log_BAI_dbh","SCBI","QUMO","pre",0.0068021357767993,0.000738943986086985,5444,9.20521163291338,4.76232331862377e-20
FALSE,"log_BAI_dbh","SCBI","QUMO","I(pre^2)",-0.000139873905462488,1.99010868606438e-05,5444,-7.02845560355307,2.34486234828979e-12
FALSE,"log_BAI_dbh","SCBI","QUMO","tmx",0.0837012742305566,0.0112905636971043,5444,7.41338311142283,1.42010213021513e-13
FALSE,"log_BAI_dbh","SCBI","QUMO","I(tmx^2)",0.00703396043087805,0.000950450264419021,5444,7.40066123836335,1.5615246309421e-13
FALSE,"log_BAI_dbh","SCBI","QURU","(Intercept)",0.36425268907737,0.10995025536654,5204,3.31288624899566,0.000929690257307798
FALSE,"log_BAI_dbh","SCBI","QURU","dbh",0.12091547905691,0.00591266393345576,5204,20.4502539663605,1.81066316815373e-89
FALSE,"log_BAI_dbh","SCBI","QURU","I(dbh^2)",-0.00100226728943819,7.48607806158573e-05,5204,-13.3884162199865,3.25032111155092e-40
FALSE,"log_BAI_dbh","SCBI","QURU","pre",0.0041586474979569,0.00054860165450196,5204,7.58045015692172,4.05289442261801e-14
FALSE,"log_BAI_dbh","SCBI","QURU","I(pre^2)",-9.26270686653426e-05,1.47880186331083e-05,5204,-6.2636564751118,4.06272118257901e-10
FALSE,"log_BAI_dbh","SCBI","QURU","tmx",0.0823352545014916,0.00852983191792961,5204,9.65262332173554,7.29935789870905e-22
FALSE,"log_BAI_dbh","SCBI","QURU","I(tmx^2)",0.00857336661394431,0.000722574732806326,5204,11.8650240932826,4.6437230830325e-32
FALSE,"log_BAI_dbh","SCBI","QUVE","(Intercept)",1.03276861716095,0.101284658433506,6355,10.1966934887673,3.14959534890198e-24
FALSE,"log_BAI_dbh","SCBI","QUVE","dbh",0.0968850235780148,0.00518381866553693,6355,18.6898944251515,6.30697382233862e-76
FALSE,"log_BAI_dbh","SCBI","QUVE","I(dbh^2)",-0.000911029671468155,6.88526835980075e-05,6355,-13.2315782604372,1.90998974244839e-39
FALSE,"log_BAI_dbh","SCBI","QUVE","pre",0.00541502139000823,0.000472132845702683,6355,11.4692748858618,3.72166174918765e-30
FALSE,"log_BAI_dbh","SCBI","QUVE","I(pre^2)",-0.000112829556693059,1.27710528666631e-05,6355,-8.83478894583416,1.27974529972564e-18
FALSE,"log_BAI_dbh","SCBI","QUVE","tmx",0.0925386778822994,0.00734111843167036,6355,12.6055285367796,5.29411392722042e-36
FALSE,"log_BAI_dbh","SCBI","QUVE","I(tmx^2)",0.00904477740656852,0.000621667989010135,6355,14.5492088485532,3.36905411220352e-47
FALSE,"log_BAI_dbh","SCBI","FAGR","(Intercept)",-1.10660757562579,0.0776568462671283,3707,-14.2499680172334,6.73952862194535e-45
FALSE,"log_BAI_dbh","SCBI","FAGR","dbh",0.32223130752977,0.0100947691091894,3707,31.9206218631032,9.37544888572377e-198
FALSE,"log_BAI_dbh","SCBI","FAGR","I(dbh^2)",-0.0059715208683171,0.000325169227483267,3707,-18.3643480489691,3.67155239840704e-72
FALSE,"log_BAI_dbh","SCBI","FAGR","pre",0.0098901722283343,0.000832360722549354,3707,11.8820746347121,5.54446468101684e-32
FALSE,"log_BAI_dbh","SCBI","FAGR","I(pre^2)",-0.000194504255811594,2.30290224371142e-05,3707,-8.44604916872745,4.26884213578737e-17
FALSE,"log_BAI_dbh","SCBI","FAGR","tmx",0.0976026285650322,0.0129643363190205,3707,7.52854802307431,6.40610300254019e-14
FALSE,"log_BAI_dbh","SCBI","FAGR","I(tmx^2)",0.00915758746635565,0.00112339214017299,3707,8.15172826912021,4.85781382676311e-16
FALSE,"log_BAI_dbh","SCBI","PIST","(Intercept)",0.651791338340106,0.189706895027848,2121,3.43578096222822,0.000602224428053326
FALSE,"log_BAI_dbh","SCBI","PIST","dbh",0.0791590373839476,0.0170887516848425,2121,4.63223053642711,3.83676375333251e-06
FALSE,"log_BAI_dbh","SCBI","PIST","I(dbh^2)",-0.000585548996770893,0.000397004763228939,2121,-1.47491680454531,0.140383328134662
FALSE,"log_BAI_dbh","SCBI","PIST","pre",0.0206835018242852,0.00159822644291591,2121,12.9415339834753,6.30733432034086e-37
FALSE,"log_BAI_dbh","SCBI","PIST","I(pre^2)",-0.000497149424957263,4.32654443992874e-05,2121,-11.4906811165321,1.08957485661608e-29
FALSE,"log_BAI_dbh","SCBI","PIST","tmx",0.0289315603214604,0.00640230169816681,2121,4.51893111031373,6.55713264948901e-06
