"(Intercept)","CO2","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw"
36.1670161998983,-0.0250497853942612,-0.00543601280218752,NA,-1.45084590344195,0.0201462340247234,NA,NA,8,-3976.94806735308,7969.92376325565,162.806915167037,1.93594543652467e-36,1
17.6507264596538,-0.028458125397416,NA,NA,-0.197659232646046,NA,NA,NA,6,-3981.69963155061,7975.41537357303,168.298525484416,1.24281098716073e-37,1
35.6004265208308,-0.0284863636883943,NA,NA,-1.35071811056254,0.0185226680491035,NA,NA,7,-3981.35460974602,7976.7307042417,169.613856153085,6.43849938239485e-38,1
12.4839519963171,NA,-0.0207097015840637,-0.000180060114276632,-0.140078481496693,NA,-1.15308353779832,0.0610039533115867,9,-4067.21558031902,8152.46570295238,345.348854863759,4.4505588663874e-76,1
31.1588286833044,NA,-0.0209153700543047,-0.000178249706678325,-1.33614399216437,0.0191994723167242,-1.16227592211874,0.0614434582986164,10,-4066.8423826504,8153.72699178832,346.610143699705,2.36880417019666e-76,1
12.6955427954051,NA,-0.0355060139888997,NA,-0.139032707701546,NA,-1.149738660577,0.0607787557184422,8,-4072.66257753176,8161.35278361302,354.235935524406,5.23129852871936e-78,1
34.0368449439185,NA,-0.0355721844082966,NA,-1.50600809208599,0.0219425740257562,-1.16034038351182,0.0612863858270371,9,-4072.17482106151,8162.38418443736,355.267336348746,3.12351546694827e-78,1
10.4481225086316,-0.0246458191245225,-0.00625782848070322,NA,NA,NA,NA,NA,6,-4084.319083323,8180.65427711781,373.537429029194,3.36777790493874e-82,1
10.3769660327805,-0.0245814146603361,-0.00341721028357171,-3.49077316547984e-05,NA,NA,NA,NA,7,-4084.06139852769,8182.14428180503,375.027433716418,1.59879593909211e-82,1
11.5661229003448,-0.0285840759211598,NA,NA,NA,NA,NA,NA,5,-4089.93156907863,8189.87464343052,382.7577953419,3.35093757939741e-84,1
6.93183921797274,NA,-0.0214667558261133,-0.000174063777933527,NA,NA,-0.941892570556063,0.0523159230975935,8,-4100.74840227462,8217.52443309875,410.407585010132,3.3196385448725e-90,1
7.17338513681893,NA,-0.0357620419127112,NA,NA,NA,-0.939619759864744,0.0521326713963643,7,-4105.68002660627,8225.38153796221,418.264689873594,6.53043566964542e-92,1
5.75792090597811,NA,-0.0204449531147029,-0.000174907691600185,-0.115298898678735,NA,0.0562032891261424,NA,8,-4110.00752702953,8236.04268260857,428.925834519951,3.16157879670573e-94,1
8.89104662819005,NA,-0.0204794512055426,-0.000174597972734327,-0.316453202517309,0.00322940726491843,0.056121245340897,NA,9,-4109.99711781855,8238.02877795143,430.911929862818,1.17119412806646e-94,1
5.98343499700016,NA,-0.0348243981434694,NA,-0.114237172538436,NA,0.0551380868319062,NA,7,-4115.12937443413,8244.28023361793,437.163385529314,5.1421238954348e-96,1
11.7308318868174,NA,-0.0348413333265412,NA,-0.483280146191586,0.00592465798266443,0.0549899590676525,NA,8,-4115.09431624372,8246.21626103693,439.099412948318,1.95316765652754e-96,1
1.87756630880528,NA,-0.0211109812989888,-0.00017024842112353,NA,NA,0.0891433936125817,NA,7,-4132.85009234862,8279.7216694469,472.604821358286,1.03545810241233e-103,1
8.69354987209784,NA,-0.021825447159633,-0.000155599912380201,-0.191535260450229,NA,NA,NA,7,-4135.29562482194,8284.61273439354,477.495886304921,8.97534750182713e-105,1
23.0372035984328,NA,-0.0219747760366497,-0.000154299877467953,-1.11319274902408,0.0148049733075018,NA,NA,8,-4135.07967605742,8286.18698066434,479.070132575728,4.08515028491245e-105,1
2.13135837217518,NA,-0.0350973224815852,NA,NA,NA,0.0878257603426625,NA,6,-4137.55257928569,8287.12126904319,480.004420954573,2.56053015197149e-105,1
8.84376614615677,NA,-0.0346406776833106,NA,-0.189227904433916,NA,NA,NA,6,-4139.49974578747,8291.01560204674,483.89875395812,3.65330748986789e-106,1
25.4429959904429,NA,-0.0346903325960557,NA,-1.25592841101466,0.0171344482800107,NA,NA,7,-4139.21025983742,8292.44200442451,485.325156335896,1.79038687896197e-106,1
2.83682349915551,NA,-0.0258782300422814,-0.000111792378235876,NA,NA,NA,NA,6,-4234.78377819717,8481.58366686615,674.466818777531,1.51829701507104e-147,1
2.99641082411061,NA,-0.0350904168101307,NA,NA,NA,NA,NA,5,-4236.89254527667,8483.79659582659,676.679747737972,5.02140580185265e-148,1
10.2061620733761,NA,NA,NA,-0.124971277218137,NA,-1.05706667522533,0.0563666347504121,7,-4289.22472086147,8592.4709264726,785.354078383988,1.26617652668871e-171,1
17.5720654017447,NA,NA,NA,-0.596563703853748,0.00756885369359384,-1.0614026383926,0.0565760116336854,8,-4289.1630245235,8594.35367759651,787.236829507895,4.93923905361555e-172,1
5.14421081454537,NA,NA,NA,NA,NA,-0.849401462173518,0.0476041751138963,6,-4317.24321280957,8646.50253609094,839.385688002322,2.3424984122437e-183,1
3.88086317391113,NA,NA,NA,-0.0981812761548791,NA,0.0614414123823196,NA,6,-4328.49210044114,8669.00031135408,861.883463265468,3.05034863524154e-188,1
-6.44259682045264,NA,NA,NA,0.564740232688997,-0.0106418618354105,0.0616966981086159,NA,7,-4328.37159521591,8670.76467518148,863.647827092866,1.26247487000678e-188,1
0.565970780583545,NA,NA,NA,NA,NA,0.0889135824050429,NA,5,-4346.03994298075,8702.09139123476,894.974543146141,1.98935725941211e-195,1
7.11632273833636,NA,NA,NA,-0.182982552460353,NA,NA,NA,5,-4361.88101709166,8733.77353945657,926.656691367955,2.62434972460872e-202,1
8.5443524488559,NA,NA,NA,-0.274754227383728,0.00147399109312254,NA,NA,6,-4361.87874065331,8735.77359177842,928.656743689803,9.65419053542747e-203,1
1.44380939515158,NA,NA,NA,NA,NA,NA,NA,4,-4457.57918097177,8923.1660306552,1116.04918256658,1.96320109912407e-243,1
