"(Intercept)","CO2","dbh","I(dbh^2)","tmp","I(tmp^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-75.5057009120422,-0.00988111797488199,NA,NA,7.14973333520998,-0.145225178088896,-1.04481892052383,0.0554451409241031,9,-2746.78854351744,5511.61251313212,335.375733031095,1.49274472446908e-73,1,TRUE
18.9661498327607,-0.0100366439532216,NA,NA,-0.230868485538159,NA,-1.1826640416872,0.0625336871469108,8,-2754.88529401463,5525.79892333033,349.562143229309,1.24006860191478e-76,1,TRUE
19.0532310355145,-0.0243485732096665,0.025795243040929,NA,-0.297251806858161,NA,NA,NA,7,-2761.82139111082,5537.6648164534,361.428036352379,3.28700041079887e-79,1,FALSE
-99.3700714560048,NA,0.0415073658805201,-0.000536733107347198,8.67960972618631,-0.175718403428327,-0.934257319836349,0.0497321861653278,10,-2777.84603335811,5575.73537380283,399.498593701809,1.77780150058924e-87,1,TRUE
14.8949669846189,NA,0.0408087783314516,-0.00053025123128686,-0.25093944768926,NA,-1.10117825451999,0.0583112091946233,9,-2789.74574211826,5597.52691033374,421.290130232719,3.29542350211874e-92,1,TRUE
11.5099626902228,-0.0268542816050822,0.0268130737165272,NA,NA,NA,0.0851741392300628,NA,7,-2794.07252561358,5602.16708545892,425.930305357898,3.23824727464998e-93,1,FALSE
-160.842922299271,-0.00923284013710186,NA,NA,13.4181410287036,-0.26833267823576,0.0478940777960847,NA,8,-2799.80822409626,5615.64478349357,439.408003392554,3.83411439234226e-96,1,FALSE
-176.289578923924,NA,0.0423940965671528,-0.000539766636467652,14.3452169910965,-0.286986874451187,0.045901928496965,NA,9,-2820.96599987386,5659.96742584495,483.73064574393,9.10176394385603e-106,1,FALSE
-90.6471639783257,NA,-0.00263581959972089,NA,8.05369608650087,-0.163349782482505,-0.941772591594938,0.0500395111158224,9,-2827.81867650132,5673.67277909986,497.435998998841,9.6171396448438e-109,1,TRUE
12.3280349566987,-0.00938710026770994,NA,NA,-0.216052060616736,NA,0.0516758303440271,NA,7,-2830.0313938814,5674.08482199455,497.848041893528,7.8265784810879e-109,1,FALSE
-91.8677650865874,NA,NA,NA,8.13677524717555,-0.165011985502274,-0.928381921928375,0.0493500143899911,8,-2829.97847221561,5675.98527973227,499.748499631253,3.02616629742122e-109,1,TRUE
-176.307213657488,-0.00863505484112451,NA,NA,14.7301964388099,-0.295610416248368,NA,NA,7,-2837.00091814818,5688.02387052811,511.787090427089,7.35776671407622e-112,1,FALSE
15.5768563526725,NA,-0.00279724775081561,NA,-0.248439108398465,NA,-1.09804861878847,0.0580708229432642,8,-2838.05478451355,5692.13790432817,515.901124227149,9.40578235283602e-113,1,TRUE
15.4305614184729,NA,NA,NA,-0.249931857448122,NA,-1.08592286100031,0.0574459859717237,7,-2840.46562180259,5694.95327783693,518.716497735913,2.30167677444955e-113,1,TRUE
12.7593177652083,-0.0113613031283273,NA,NA,NA,NA,-1.05149225561099,0.057658571740406,7,-2843.02991392945,5700.08186209065,523.845081989631,1.77168461852203e-114,1,TRUE
-190.496650670477,NA,0.0406749924551236,-0.00051452850416332,15.5724993741257,-0.312547453452458,NA,NA,8,-2855.40036467908,5726.82906465921,550.592284558193,2.75616474856195e-120,1,FALSE
8.89629691817787,NA,0.0413624713432735,-0.000528895292622408,-0.237269391280207,NA,0.0497937133838315,NA,8,-2855.73287162893,5727.49407855892,551.257298457899,1.97651102079676e-120,1,FALSE
14.6500355817708,-0.00873844920010154,NA,NA,-0.296488848956227,NA,NA,NA,6,-2873.06151650395,5758.13955543119,581.90277533017,4.37843079615345e-127,1,FALSE
-168.974161370064,NA,-0.00201698390586591,NA,13.8275223219308,-0.27673455836116,0.044479133519014,NA,8,-2871.55779076488,5759.14391683082,582.907136729799,2.64986764816638e-127,1,FALSE
-169.335993896281,NA,NA,NA,13.8502473106617,-0.277206307271891,0.0443059485261558,NA,7,-2872.85040317383,5759.72284057941,583.486060478389,1.98386670250443e-127,1,FALSE
7.64486952889287,NA,0.0404011558700429,-0.00054190562431848,NA,NA,-0.95087450935668,0.0526118831367271,8,-2894.49383679616,5805.01600889338,628.779228792356,2.89885141088247e-137,1,TRUE
11.3950629216592,NA,0.0394148088816755,-0.000500564624784121,-0.315435434924496,NA,NA,NA,7,-2895.90220186679,5805.82643796534,629.589657864321,1.93305191550218e-137,1,FALSE
9.58624872251518,NA,-0.00218440506744036,NA,-0.234167701231708,NA,0.0482474127945137,NA,7,-2903.79231241905,5821.60665906986,645.369878968841,7.23789108279268e-141,1,FALSE
-182.971186439564,NA,-0.00184216178284556,NA,15.0329412043847,-0.301822912528078,NA,NA,7,-2904.07094363191,5822.16392149557,645.927141394553,5.47777317913211e-141,1,FALSE
-183.295244087776,NA,NA,NA,15.0530691191103,-0.302241311352589,NA,NA,6,-2905.25176883514,5822.52006009357,646.283279992545,4.58426306402909e-141,1,FALSE
9.52475280810373,NA,NA,NA,-0.235546116697964,NA,0.0480624844583283,NA,6,-2905.30220451587,5822.62093145502,646.384151354002,4.35878646314628e-141,1,FALSE
6.9739770033603,-0.0106736816021249,NA,NA,NA,NA,0.0845827691519463,NA,6,-2905.34311896932,5822.70276036192,646.465980260901,4.18404813412484e-141,1,FALSE
